,v,tau,true_pValue,conventional_power,model,ntrials,npp,mean_v,mean_a,mean_z,mean_t,std_v,std_a,std_z,std_t,par_ind,True_correlation,TypeIerror,nreps,full_speed
0,0.018,0.1387888539150407,0.07943485244720527,0.2927653024723611,,,,,,,,,,,,,,,,
21,,,,,ddm,240,200,0,1.18,0.5,0.5,0.3,0.33,0.1,0.25,0,0.1,0.05,500,1
