,v,tau,true_pValue,conventional_power,model,ntrials,npp,mean_v,mean_a,mean_z,mean_t,std_v,std_a,std_z,std_t,par_ind,True_correlation,TypeIerror,nreps,full_speed
0,0.026,0.1552253313040799,5.806911022110395e-05,0.9661160826923665,,,,,,,,,,,,,,,,
41,,,,,ddm,240,160,0,1.18,0.5,0.5,0.3,0.33,0.1,0.25,0,0.3,0.05,500,1
