,v,tau,true_pValue,conventional_power,model,ntrials,npp,mean_v,mean_a,mean_z,mean_t,std_v,std_a,std_z,std_t,par_ind,True_correlation,TypeIerror,nreps,full_speed
0,0.034,0.17934314929506068,0.13858343848666144,0.19450274006626045,,,,,,,,,,,,,,,,
10,,,,,ddm,80,120,0,1.18,0.5,0.5,0.3,0.33,0.1,0.25,0,0.1,0.05,500,1
