,v,tau,true_pValue,conventional_power,model,ntrials,npp,mean_v,mean_a,mean_z,mean_t,std_v,std_a,std_z,std_t,par_ind,True_correlation,TypeIerror,nreps,full_speed
0,0.036,0.31200636866846754,0.030000894774380837,0.4706923394560457,,,,,,,,,,,,,,,,
25,,,,,ddm,80,40,0,1.18,0.5,0.5,0.3,0.33,0.1,0.25,0,0.3,0.05,500,1
