,v,a,z,t,model,ntrials,npp,mean_v,mean_a,mean_z,mean_t,std_v,std_a,std_z,std_t,tau,nreps,full_speed,output_folder
0,0.989,0.998,0.989,0.998,,,,,,,,,,,,,,,
1,0.99,0.997,0.986,0.998,,,,,,,,,,,,,,,
2,0.989,0.998,0.99,0.998,,,,,,,,,,,,,,,
3,0.992,0.997,0.991,0.995,,,,,,,,,,,,,,,
4,0.99,0.996,0.989,0.997,,,,,,,,,,,,,,,
5,0.991,0.998,0.986,0.996,,,,,,,,,,,,,,,
6,0.991,0.997,0.989,0.997,,,,,,,,,,,,,,,
7,0.988,0.997,0.988,0.997,,,,,,,,,,,,,,,
8,0.991,0.998,0.988,0.998,,,,,,,,,,,,,,,
9,0.99,0.998,0.991,0.997,,,,,,,,,,,,,,,
10,0.99,0.998,0.992,0.998,,,,,,,,,,,,,,,
11,0.993,0.997,0.989,0.998,,,,,,,,,,,,,,,
12,0.989,0.998,0.989,0.998,,,,,,,,,,,,,,,
13,0.992,0.997,0.992,0.997,,,,,,,,,,,,,,,
14,0.994,0.997,0.989,0.998,,,,,,,,,,,,,,,
15,0.992,0.997,0.992,0.998,,,,,,,,,,,,,,,
16,0.99,0.997,0.986,0.997,,,,,,,,,,,,,,,
17,0.989,0.998,0.989,0.996,,,,,,,,,,,,,,,
18,0.987,0.997,0.992,0.997,,,,,,,,,,,,,,,
19,0.992,0.998,0.986,0.998,,,,,,,,,,,,,,,
20,0.994,0.997,0.992,0.997,,,,,,,,,,,,,,,
21,0.991,0.997,0.988,0.997,,,,,,,,,,,,,,,
22,0.995,0.998,0.99,0.998,,,,,,,,,,,,,,,
23,0.993,0.998,0.989,0.997,,,,,,,,,,,,,,,
24,0.992,0.998,0.991,0.998,,,,,,,,,,,,,,,
25,0.992,0.997,0.989,0.997,,,,,,,,,,,,,,,
26,0.992,0.998,0.987,0.998,,,,,,,,,,,,,,,
27,0.993,0.998,0.987,0.997,,,,,,,,,,,,,,,
28,0.989,0.997,0.992,0.998,,,,,,,,,,,,,,,
29,0.993,0.998,0.988,0.997,,,,,,,,,,,,,,,
30,0.986,0.998,0.983,0.997,,,,,,,,,,,,,,,
31,0.993,0.997,0.99,0.997,,,,,,,,,,,,,,,
32,0.992,0.996,0.987,0.998,,,,,,,,,,,,,,,
33,0.994,0.996,0.99,0.997,,,,,,,,,,,,,,,
34,0.992,0.998,0.99,0.999,,,,,,,,,,,,,,,
35,0.991,0.998,0.988,0.998,,,,,,,,,,,,,,,
36,0.992,0.996,0.988,0.997,,,,,,,,,,,,,,,
37,0.991,0.998,0.988,0.997,,,,,,,,,,,,,,,
38,0.987,0.997,0.989,0.998,,,,,,,,,,,,,,,
39,0.989,0.996,0.991,0.997,,,,,,,,,,,,,,,
40,0.987,0.998,0.99,0.997,,,,,,,,,,,,,,,
41,0.992,0.998,0.992,0.998,,,,,,,,,,,,,,,
42,0.991,0.998,0.99,0.997,,,,,,,,,,,,,,,
