,v,a,z,t,model,ntrials,npp,mean_v,mean_a,mean_z,mean_t,std_v,std_a,std_z,std_t,tau,nreps,full_speed,output_folder
0,0.991,0.997,0.989,0.998,,,,,,,,,,,,,,,
1,0.979,0.996,0.965,0.997,,,,,,,,,,,,,,,
2,0.984,0.996,0.986,0.996,,,,,,,,,,,,,,,
3,0.988,0.996,0.986,0.996,,,,,,,,,,,,,,,
4,0.986,0.995,0.983,0.998,,,,,,,,,,,,,,,
5,0.989,0.998,0.99,0.997,,,,,,,,,,,,,,,
6,0.985,0.996,0.987,0.995,,,,,,,,,,,,,,,
7,0.989,0.996,0.985,0.996,,,,,,,,,,,,,,,
8,0.986,0.997,0.992,0.998,,,,,,,,,,,,,,,
9,0.988,0.996,0.981,0.997,,,,,,,,,,,,,,,
10,0.992,0.997,0.985,0.998,,,,,,,,,,,,,,,
11,0.984,0.998,0.987,0.998,,,,,,,,,,,,,,,
12,0.989,0.997,0.99,0.996,,,,,,,,,,,,,,,
13,0.982,0.998,0.983,0.998,,,,,,,,,,,,,,,
14,0.99,0.998,0.99,0.997,,,,,,,,,,,,,,,
15,0.986,0.997,0.988,0.996,,,,,,,,,,,,,,,
16,0.985,0.997,0.986,0.998,,,,,,,,,,,,,,,
17,0.982,0.998,0.986,0.996,,,,,,,,,,,,,,,
18,0.981,0.997,0.988,0.997,,,,,,,,,,,,,,,
19,0.986,0.997,0.988,0.996,,,,,,,,,,,,,,,
20,0.989,0.998,0.992,0.997,,,,,,,,,,,,,,,
21,0.988,0.997,0.99,0.994,,,,,,,,,,,,,,,
22,0.988,0.997,0.986,0.997,,,,,,,,,,,,,,,
23,0.988,0.998,0.983,0.997,,,,,,,,,,,,,,,
24,0.99,0.997,0.985,0.997,,,,,,,,,,,,,,,
25,0.991,0.998,0.989,0.997,,,,,,,,,,,,,,,
26,0.989,0.996,0.986,0.998,,,,,,,,,,,,,,,
27,0.984,0.997,0.987,0.997,,,,,,,,,,,,,,,
28,0.987,0.997,0.983,0.997,,,,,,,,,,,,,,,
29,0.991,0.995,0.99,0.995,,,,,,,,,,,,,,,
30,0.989,0.997,0.99,0.997,,,,,,,,,,,,,,,
31,0.989,0.997,0.99,0.997,,,,,,,,,,,,,,,
32,0.99,0.998,0.986,0.997,,,,,,,,,,,,,,,
33,0.988,0.997,0.987,0.997,,,,,,,,,,,,,,,
34,0.99,0.997,0.987,0.997,,,,,,,,,,,,,,,
35,0.982,0.997,0.989,0.997,,,,,,,,,,,,,,,
36,0.989,0.997,0.982,0.997,,,,,,,,,,,,,,,
37,0.99,0.998,0.982,0.997,,,,,,,,,,,,,,,
38,0.983,0.997,0.987,0.998,,,,,,,,,,,,,,,
39,0.991,0.996,0.984,0.997,,,,,,,,,,,,,,,
40,0.992,0.998,0.991,0.998,,,,,,,,,,,,,,,
41,0.988,0.997,0.99,0.997,,,,,,,,,,,,,,,
42,0.993,0.997,0.991,0.997,,,,,,,,,,,,,,,
43,0.981,0.998,0.987,0.997,,,,,,,,,,,,,,,
44,0.986,0.996,0.984,0.997,,,,,,,,,,,,,,,
45,0.985,0.998,0.985,0.997,,,,,,,,,,,,,,,
46,0.988,0.997,0.986,0.996,,,,,,,,,,,,,,,
47,0.99,0.997,0.986,0.997,,,,,,,,,,,,,,,
48,0.988,0.996,0.985,0.994,,,,,,,,,,,,,,,
49,0.993,0.994,0.992,0.996,,,,,,,,,,,,,,,
50,0.985,0.997,0.987,0.997,,,,,,,,,,,,,,,
51,0.987,0.997,0.987,0.998,,,,,,,,,,,,,,,
52,0.985,0.997,0.979,0.996,,,,,,,,,,,,,,,
53,0.988,0.995,0.987,0.996,,,,,,,,,,,,,,,
54,0.986,0.996,0.99,0.997,,,,,,,,,,,,,,,
55,0.986,0.998,0.992,0.997,,,,,,,,,,,,,,,
56,0.987,0.997,0.985,0.997,,,,,,,,,,,,,,,
57,0.991,0.998,0.989,0.998,,,,,,,,,,,,,,,
58,0.994,0.997,0.986,0.996,,,,,,,,,,,,,,,
59,0.984,0.996,0.983,0.997,,,,,,,,,,,,,,,
60,0.985,0.998,0.987,0.997,,,,,,,,,,,,,,,
61,0.989,0.997,0.99,0.997,,,,,,,,,,,,,,,
62,0.977,0.997,0.99,0.996,,,,,,,,,,,,,,,
63,0.986,0.996,0.986,0.998,,,,,,,,,,,,,,,
64,0.986,0.997,0.984,0.997,,,,,,,,,,,,,,,
65,0.987,0.998,0.987,0.997,,,,,,,,,,,,,,,
66,0.99,0.996,0.988,0.998,,,,,,,,,,,,,,,
67,0.987,0.997,0.987,0.996,,,,,,,,,,,,,,,
68,0.988,0.995,0.985,0.996,,,,,,,,,,,,,,,
69,0.991,0.995,0.984,0.997,,,,,,,,,,,,,,,
70,0.986,0.997,0.987,0.996,,,,,,,,,,,,,,,
71,0.98,0.998,0.989,0.997,,,,,,,,,,,,,,,
72,0.99,0.997,0.988,0.996,,,,,,,,,,,,,,,
73,0.988,0.997,0.987,0.995,,,,,,,,,,,,,,,
74,0.988,0.996,0.986,0.998,,,,,,,,,,,,,,,
75,0.988,0.998,0.991,0.999,,,,,,,,,,,,,,,
76,0.988,0.998,0.985,0.997,,,,,,,,,,,,,,,
77,0.985,0.997,0.987,0.996,,,,,,,,,,,,,,,
78,0.988,0.998,0.99,0.998,,,,,,,,,,,,,,,
79,0.983,0.997,0.987,0.998,,,,,,,,,,,,,,,
80,0.983,0.998,0.989,0.997,,,,,,,,,,,,,,,
81,0.992,0.997,0.988,0.997,,,,,,,,,,,,,,,
82,0.982,0.995,0.99,0.997,,,,,,,,,,,,,,,
83,0.983,0.997,0.978,0.997,,,,,,,,,,,,,,,
84,0.992,0.997,0.989,0.998,,,,,,,,,,,,,,,
85,0.988,0.997,0.989,0.998,,,,,,,,,,,,,,,
86,0.992,0.997,0.983,0.995,,,,,,,,,,,,,,,
87,0.987,0.995,0.99,0.997,,,,,,,,,,,,,,,
88,0.983,0.997,0.989,0.998,,,,,,,,,,,,,,,
89,0.986,0.997,0.988,0.997,,,,,,,,,,,,,,,
90,0.986,0.998,0.99,0.997,,,,,,,,,,,,,,,
91,0.987,0.996,0.989,0.998,,,,,,,,,,,,,,,
92,0.99,0.997,0.991,0.997,,,,,,,,,,,,,,,
93,0.982,0.997,0.985,0.998,,,,,,,,,,,,,,,
94,0.981,0.996,0.987,0.997,,,,,,,,,,,,,,,
95,0.988,0.997,0.986,0.997,,,,,,,,,,,,,,,
96,0.989,0.996,0.993,0.995,,,,,,,,,,,,,,,
97,0.986,0.997,0.989,0.997,,,,,,,,,,,,,,,
98,0.985,0.997,0.988,0.996,,,,,,,,,,,,,,,
99,0.987,0.996,0.985,0.997,,,,,,,,,,,,,,,
100,0.988,0.996,0.984,0.997,,,,,,,,,,,,,,,
101,0.989,0.997,0.989,0.997,,,,,,,,,,,,,,,
102,0.984,0.995,0.985,0.997,,,,,,,,,,,,,,,
103,0.99,0.997,0.986,0.997,,,,,,,,,,,,,,,
104,0.984,0.997,0.985,0.997,,,,,,,,,,,,,,,
105,0.985,0.997,0.982,0.993,,,,,,,,,,,,,,,
106,0.988,0.996,0.988,0.997,,,,,,,,,,,,,,,
107,0.988,0.997,0.985,0.998,,,,,,,,,,,,,,,
108,0.986,0.997,0.989,0.997,,,,,,,,,,,,,,,
109,0.987,0.996,0.984,0.998,,,,,,,,,,,,,,,
110,0.99,0.997,0.989,0.997,,,,,,,,,,,,,,,
111,0.98,0.997,0.982,0.996,,,,,,,,,,,,,,,
112,0.99,0.996,0.985,0.997,,,,,,,,,,,,,,,
113,0.986,0.998,0.992,0.997,,,,,,,,,,,,,,,
114,0.989,0.996,0.986,0.996,,,,,,,,,,,,,,,
115,0.988,0.998,0.987,0.997,,,,,,,,,,,,,,,
116,0.985,0.997,0.99,0.998,,,,,,,,,,,,,,,
117,0.982,0.997,0.988,0.995,,,,,,,,,,,,,,,
118,0.988,0.997,0.981,0.995,,,,,,,,,,,,,,,
119,0.99,0.996,0.991,0.996,,,,,,,,,,,,,,,
120,0.988,0.997,0.987,0.997,,,,,,,,,,,,,,,
121,0.988,0.997,0.987,0.997,,,,,,,,,,,,,,,
122,0.982,0.997,0.988,0.998,,,,,,,,,,,,,,,
123,0.992,0.997,0.987,0.996,,,,,,,,,,,,,,,
124,0.989,0.995,0.984,0.997,,,,,,,,,,,,,,,
125,0.979,0.997,0.986,0.997,,,,,,,,,,,,,,,
126,0.983,0.997,0.985,0.997,,,,,,,,,,,,,,,
127,0.989,0.997,0.989,0.997,,,,,,,,,,,,,,,
128,0.984,0.996,0.986,0.998,,,,,,,,,,,,,,,
129,0.98,0.996,0.985,0.997,,,,,,,,,,,,,,,
130,0.99,0.995,0.992,0.997,,,,,,,,,,,,,,,
131,0.981,0.998,0.984,0.997,,,,,,,,,,,,,,,
132,0.986,0.998,0.986,0.998,,,,,,,,,,,,,,,
133,0.988,0.996,0.989,0.997,,,,,,,,,,,,,,,
134,0.985,0.997,0.986,0.997,,,,,,,,,,,,,,,
135,0.987,0.998,0.991,0.997,,,,,,,,,,,,,,,
136,0.986,0.997,0.988,0.998,,,,,,,,,,,,,,,
137,0.983,0.997,0.984,0.997,,,,,,,,,,,,,,,
138,0.985,0.997,0.979,0.995,,,,,,,,,,,,,,,
139,0.983,0.996,0.983,0.997,,,,,,,,,,,,,,,
140,0.99,0.996,0.989,0.997,,,,,,,,,,,,,,,
141,0.977,0.995,0.987,0.997,,,,,,,,,,,,,,,
142,0.981,0.997,0.982,0.996,,,,,,,,,,,,,,,
143,0.985,0.997,0.988,0.998,,,,,,,,,,,,,,,
144,0.98,0.997,0.984,0.997,,,,,,,,,,,,,,,
145,0.988,0.997,0.982,0.998,,,,,,,,,,,,,,,
146,0.987,0.998,0.986,0.998,,,,,,,,,,,,,,,
147,0.984,0.997,0.982,0.998,,,,,,,,,,,,,,,
148,0.986,0.997,0.987,0.998,,,,,,,,,,,,,,,
149,0.988,0.996,0.985,0.998,,,,,,,,,,,,,,,
150,0.99,0.996,0.992,0.996,,,,,,,,,,,,,,,
151,0.986,0.997,0.984,0.997,,,,,,,,,,,,,,,
152,0.99,0.998,0.984,0.998,,,,,,,,,,,,,,,
153,0.988,0.997,0.988,0.998,,,,,,,,,,,,,,,
154,0.989,0.996,0.99,0.995,,,,,,,,,,,,,,,
155,0.989,0.997,0.984,0.998,,,,,,,,,,,,,,,
156,0.985,0.997,0.985,0.995,,,,,,,,,,,,,,,
157,0.986,0.998,0.982,0.998,,,,,,,,,,,,,,,
158,0.986,0.997,0.982,0.997,,,,,,,,,,,,,,,
159,0.987,0.997,0.989,0.997,,,,,,,,,,,,,,,
160,0.987,0.996,0.987,0.997,,,,,,,,,,,,,,,
161,0.979,0.998,0.986,0.997,,,,,,,,,,,,,,,
162,0.986,0.997,0.984,0.998,,,,,,,,,,,,,,,
163,0.987,0.998,0.992,0.998,,,,,,,,,,,,,,,
164,0.992,0.997,0.988,0.997,,,,,,,,,,,,,,,
165,0.987,0.998,0.983,0.998,,,,,,,,,,,,,,,
166,0.987,0.996,0.981,0.997,,,,,,,,,,,,,,,
167,0.983,0.996,0.978,0.998,,,,,,,,,,,,,,,
168,0.989,0.996,0.991,0.997,,,,,,,,,,,,,,,
169,0.982,0.997,0.986,0.997,,,,,,,,,,,,,,,
170,0.989,0.996,0.986,0.997,,,,,,,,,,,,,,,
171,0.99,0.997,0.985,0.997,,,,,,,,,,,,,,,
172,0.989,0.997,0.988,0.997,,,,,,,,,,,,,,,
173,0.988,0.996,0.984,0.995,,,,,,,,,,,,,,,
174,0.99,0.997,0.983,0.995,,,,,,,,,,,,,,,
175,0.991,0.997,0.99,0.996,,,,,,,,,,,,,,,
176,0.99,0.998,0.987,0.997,,,,,,,,,,,,,,,
177,0.981,0.996,0.988,0.996,,,,,,,,,,,,,,,
178,0.985,0.997,0.983,0.998,,,,,,,,,,,,,,,
179,0.99,0.998,0.987,0.997,,,,,,,,,,,,,,,
180,0.99,0.997,0.985,0.997,,,,,,,,,,,,,,,
181,0.985,0.997,0.987,0.997,,,,,,,,,,,,,,,
182,0.989,0.997,0.98,0.996,,,,,,,,,,,,,,,
183,0.988,0.997,0.989,0.997,,,,,,,,,,,,,,,
184,0.991,0.997,0.987,0.995,,,,,,,,,,,,,,,
185,0.988,0.996,0.992,0.997,,,,,,,,,,,,,,,
186,0.986,0.997,0.987,0.997,,,,,,,,,,,,,,,
187,0.99,0.997,0.985,0.997,,,,,,,,,,,,,,,
188,0.986,0.997,0.985,0.997,,,,,,,,,,,,,,,
189,0.987,0.997,0.987,0.997,,,,,,,,,,,,,,,
190,0.988,0.998,0.981,0.997,,,,,,,,,,,,,,,
191,0.987,0.996,0.987,0.997,,,,,,,,,,,,,,,
192,0.99,0.995,0.979,0.998,,,,,,,,,,,,,,,
193,0.99,0.997,0.99,0.998,,,,,,,,,,,,,,,
194,0.993,0.997,0.986,0.997,,,,,,,,,,,,,,,
195,0.992,0.998,0.983,0.997,,,,,,,,,,,,,,,
196,0.985,0.996,0.99,0.996,,,,,,,,,,,,,,,
197,0.988,0.997,0.989,0.997,,,,,,,,,,,,,,,
198,0.984,0.996,0.985,0.994,,,,,,,,,,,,,,,
199,0.986,0.996,0.982,0.997,,,,,,,,,,,,,,,
200,0.987,0.997,0.981,0.997,,,,,,,,,,,,,,,
201,0.986,0.996,0.986,0.994,,,,,,,,,,,,,,,
202,0.991,0.998,0.986,0.997,,,,,,,,,,,,,,,
203,0.985,0.997,0.981,0.996,,,,,,,,,,,,,,,
204,0.982,0.995,0.985,0.995,,,,,,,,,,,,,,,
205,0.989,0.997,0.99,0.997,,,,,,,,,,,,,,,
206,0.987,0.998,0.989,0.997,,,,,,,,,,,,,,,
207,0.991,0.997,0.988,0.998,,,,,,,,,,,,,,,
208,0.985,0.996,0.99,0.998,,,,,,,,,,,,,,,
209,0.985,0.998,0.985,0.997,,,,,,,,,,,,,,,
210,0.985,0.997,0.982,0.998,,,,,,,,,,,,,,,
211,0.99,0.997,0.988,0.997,,,,,,,,,,,,,,,
212,0.989,0.996,0.983,0.998,,,,,,,,,,,,,,,
213,0.983,0.997,0.985,0.997,,,,,,,,,,,,,,,
214,0.988,0.997,0.989,0.997,,,,,,,,,,,,,,,
215,0.988,0.997,0.992,0.996,,,,,,,,,,,,,,,
216,0.981,0.998,0.981,0.995,,,,,,,,,,,,,,,
217,0.982,0.997,0.984,0.994,,,,,,,,,,,,,,,
218,0.986,0.996,0.993,0.998,,,,,,,,,,,,,,,
219,0.991,0.998,0.985,0.998,,,,,,,,,,,,,,,
