,v,a,z,t,model,ntrials,npp,mean_v,mean_a,mean_z,mean_t,std_v,std_a,std_z,std_t,tau,nreps,full_speed,output_folder
0,0.918,0.98,0.948,0.972,,,,,,,,,,,,,,,
1,0.919,0.985,0.926,0.984,,,,,,,,,,,,,,,
2,0.902,0.98,0.877,0.979,,,,,,,,,,,,,,,
3,0.931,0.978,0.929,0.973,,,,,,,,,,,,,,,
4,0.919,0.971,0.928,0.979,,,,,,,,,,,,,,,
5,0.935,0.982,0.941,0.978,,,,,,,,,,,,,,,
6,0.899,0.979,0.921,0.985,,,,,,,,,,,,,,,
7,0.912,0.978,0.898,0.981,,,,,,,,,,,,,,,
8,0.91,0.98,0.941,0.983,,,,,,,,,,,,,,,
9,0.917,0.984,0.923,0.977,,,,,,,,,,,,,,,
10,0.913,0.979,0.947,0.971,,,,,,,,,,,,,,,
11,0.922,0.988,0.917,0.975,,,,,,,,,,,,,,,
12,0.94,0.981,0.912,0.982,,,,,,,,,,,,,,,
13,0.941,0.978,0.883,0.968,,,,,,,,,,,,,,,
14,0.939,0.964,0.928,0.985,,,,,,,,,,,,,,,
15,0.918,0.98,0.948,0.972,,,,,,,,,,,,,,,
16,0.919,0.985,0.926,0.984,,,,,,,,,,,,,,,
17,0.903,0.979,0.885,0.979,,,,,,,,,,,,,,,
18,0.929,0.979,0.929,0.974,,,,,,,,,,,,,,,
19,0.919,0.971,0.928,0.979,,,,,,,,,,,,,,,
20,0.929,0.977,0.955,0.97,,,,,,,,,,,,,,,
21,0.802,0.984,0.909,0.976,,,,,,,,,,,,,,,
22,0.902,0.98,0.878,0.979,,,,,,,,,,,,,,,
23,0.933,0.976,0.941,0.97,,,,,,,,,,,,,,,
24,0.907,0.984,0.936,0.972,,,,,,,,,,,,,,,
25,0.929,0.977,0.955,0.97,,,,,,,,,,,,,,,
26,0.79,0.99,0.898,0.975,,,,,,,,,,,,,,,
27,0.933,0.983,0.923,0.982,,,,,,,,,,,,,,,
28,0.902,0.983,0.912,0.976,,,,,,,,,,,,,,,
29,0.945,0.97,0.923,0.978,,,,,,,,,,,,,,,
30,0.924,0.97,0.921,0.965,,,,,,,,,,,,,,,
31,0.921,0.969,0.913,0.944,,,,,,,,,,,,,,,
32,0.926,0.975,0.898,0.959,,,,,,,,,,,,,,,
33,0.905,0.98,0.872,0.978,,,,,,,,,,,,,,,
34,0.926,0.963,0.902,0.983,,,,,,,,,,,,,,,
35,0.929,0.977,0.955,0.97,,,,,,,,,,,,,,,
36,0.803,0.987,0.898,0.977,,,,,,,,,,,,,,,
37,0.948,0.979,0.929,0.979,,,,,,,,,,,,,,,
38,0.902,0.982,0.899,0.978,,,,,,,,,,,,,,,
39,0.914,0.978,0.898,0.963,,,,,,,,,,,,,,,
40,0.929,0.977,0.955,0.97,,,,,,,,,,,,,,,
41,0.819,0.986,0.914,0.98,,,,,,,,,,,,,,,
42,0.941,0.981,0.92,0.977,,,,,,,,,,,,,,,
43,0.941,0.971,0.9,0.97,,,,,,,,,,,,,,,
44,0.897,0.973,0.903,0.974,,,,,,,,,,,,,,,
