,v,a,z,t,model,ntrials,npp,mean_v,mean_a,mean_z,mean_t,std_v,std_a,std_z,std_t,tau,nreps,full_speed,output_folder
0,0.975,0.993,0.968,0.993,,,,,,,,,,,,,,,
1,0.973,0.995,0.974,0.991,,,,,,,,,,,,,,,
2,0.975,0.992,0.972,0.993,,,,,,,,,,,,,,,
3,0.97,0.992,0.977,0.992,,,,,,,,,,,,,,,
4,0.971,0.992,0.964,0.988,,,,,,,,,,,,,,,
5,0.969,0.992,0.97,0.992,,,,,,,,,,,,,,,
6,0.974,0.993,0.974,0.995,,,,,,,,,,,,,,,
7,0.973,0.992,0.969,0.992,,,,,,,,,,,,,,,
8,0.98,0.992,0.968,0.991,,,,,,,,,,,,,,,
9,0.977,0.994,0.977,0.989,,,,,,,,,,,,,,,
10,0.978,0.989,0.972,0.994,,,,,,,,,,,,,,,
11,0.97,0.991,0.968,0.994,,,,,,,,,,,,,,,
12,0.974,0.992,0.963,0.994,,,,,,,,,,,,,,,
13,0.976,0.994,0.969,0.994,,,,,,,,,,,,,,,
14,0.97,0.994,0.975,0.993,,,,,,,,,,,,,,,
15,0.972,0.992,0.978,0.993,,,,,,,,,,,,,,,
16,0.98,0.991,0.964,0.991,,,,,,,,,,,,,,,
17,0.974,0.99,0.961,0.991,,,,,,,,,,,,,,,
18,0.974,0.991,0.97,0.992,,,,,,,,,,,,,,,
19,0.977,0.992,0.963,0.992,,,,,,,,,,,,,,,
20,0.977,0.993,0.969,0.993,,,,,,,,,,,,,,,
21,0.974,0.993,0.961,0.993,,,,,,,,,,,,,,,
22,0.973,0.992,0.973,0.992,,,,,,,,,,,,,,,
23,0.969,0.995,0.974,0.99,,,,,,,,,,,,,,,
24,0.973,0.993,0.969,0.994,,,,,,,,,,,,,,,
25,0.973,0.993,0.976,0.992,,,,,,,,,,,,,,,
26,0.972,0.992,0.966,0.991,,,,,,,,,,,,,,,
27,0.975,0.994,0.971,0.994,,,,,,,,,,,,,,,
28,0.963,0.994,0.971,0.993,,,,,,,,,,,,,,,
29,0.973,0.992,0.974,0.994,,,,,,,,,,,,,,,
30,0.975,0.993,0.969,0.992,,,,,,,,,,,,,,,
31,0.971,0.99,0.973,0.992,,,,,,,,,,,,,,,
32,0.974,0.992,0.974,0.991,,,,,,,,,,,,,,,
33,0.974,0.992,0.975,0.991,,,,,,,,,,,,,,,
34,0.972,0.989,0.959,0.993,,,,,,,,,,,,,,,
35,0.972,0.988,0.968,0.991,,,,,,,,,,,,,,,
36,0.965,0.995,0.968,0.992,,,,,,,,,,,,,,,
37,0.966,0.992,0.971,0.992,,,,,,,,,,,,,,,
38,0.976,0.991,0.966,0.992,,,,,,,,,,,,,,,
39,0.966,0.992,0.971,0.993,,,,,,,,,,,,,,,
40,0.973,0.993,0.973,0.993,,,,,,,,,,,,,,,
41,0.971,0.992,0.963,0.993,,,,,,,,,,,,,,,
42,0.973,0.994,0.971,0.994,,,,,,,,,,,,,,,
43,0.973,0.993,0.968,0.991,,,,,,,,,,,,,,,
44,0.974,0.991,0.963,0.992,,,,,,,,,,,,,,,
45,0.97,0.991,0.969,0.991,,,,,,,,,,,,,,,
46,0.968,0.994,0.967,0.994,,,,,,,,,,,,,,,
47,0.97,0.992,0.97,0.99,,,,,,,,,,,,,,,
48,0.967,0.991,0.973,0.993,,,,,,,,,,,,,,,
49,0.97,0.992,0.971,0.994,,,,,,,,,,,,,,,
50,0.973,0.992,0.967,0.993,,,,,,,,,,,,,,,
51,0.966,0.995,0.966,0.991,,,,,,,,,,,,,,,
52,0.959,0.994,0.964,0.991,,,,,,,,,,,,,,,
53,0.968,0.993,0.971,0.995,,,,,,,,,,,,,,,
54,0.967,0.993,0.974,0.994,,,,,,,,,,,,,,,
55,0.974,0.993,0.966,0.994,,,,,,,,,,,,,,,
56,0.966,0.992,0.963,0.995,,,,,,,,,,,,,,,
57,0.971,0.992,0.977,0.992,,,,,,,,,,,,,,,
58,0.969,0.991,0.974,0.992,,,,,,,,,,,,,,,
59,0.98,0.994,0.968,0.992,,,,,,,,,,,,,,,
60,0.973,0.991,0.977,0.992,,,,,,,,,,,,,,,
61,0.972,0.989,0.966,0.995,,,,,,,,,,,,,,,
62,0.971,0.994,0.978,0.995,,,,,,,,,,,,,,,
63,0.978,0.992,0.971,0.99,,,,,,,,,,,,,,,
64,0.972,0.992,0.968,0.994,,,,,,,,,,,,,,,
65,0.975,0.992,0.974,0.992,,,,,,,,,,,,,,,
66,0.967,0.993,0.965,0.992,,,,,,,,,,,,,,,
67,0.977,0.991,0.958,0.993,,,,,,,,,,,,,,,
68,0.975,0.992,0.958,0.992,,,,,,,,,,,,,,,
69,0.974,0.991,0.972,0.991,,,,,,,,,,,,,,,
70,0.978,0.992,0.968,0.994,,,,,,,,,,,,,,,
71,0.961,0.991,0.966,0.99,,,,,,,,,,,,,,,
72,0.973,0.99,0.962,0.992,,,,,,,,,,,,,,,
73,0.977,0.993,0.977,0.991,,,,,,,,,,,,,,,
74,0.97,0.993,0.966,0.993,,,,,,,,,,,,,,,
75,0.974,0.991,0.955,0.992,,,,,,,,,,,,,,,
76,0.973,0.992,0.969,0.99,,,,,,,,,,,,,,,
77,0.973,0.992,0.976,0.992,,,,,,,,,,,,,,,
78,0.971,0.993,0.978,0.992,,,,,,,,,,,,,,,
79,0.964,0.994,0.968,0.994,,,,,,,,,,,,,,,
80,0.981,0.991,0.97,0.992,,,,,,,,,,,,,,,
81,0.969,0.994,0.97,0.991,,,,,,,,,,,,,,,
82,0.97,0.993,0.977,0.991,,,,,,,,,,,,,,,
83,0.97,0.992,0.971,0.992,,,,,,,,,,,,,,,
84,0.97,0.992,0.965,0.994,,,,,,,,,,,,,,,
85,0.976,0.991,0.963,0.993,,,,,,,,,,,,,,,
86,0.975,0.993,0.969,0.993,,,,,,,,,,,,,,,
87,0.966,0.992,0.964,0.995,,,,,,,,,,,,,,,
88,0.973,0.991,0.969,0.994,,,,,,,,,,,,,,,
89,0.971,0.99,0.96,0.993,,,,,,,,,,,,,,,
90,0.975,0.991,0.971,0.994,,,,,,,,,,,,,,,
91,0.974,0.991,0.978,0.992,,,,,,,,,,,,,,,
92,0.964,0.991,0.967,0.992,,,,,,,,,,,,,,,
93,0.97,0.994,0.973,0.993,,,,,,,,,,,,,,,
94,0.971,0.991,0.971,0.995,,,,,,,,,,,,,,,
95,0.97,0.991,0.973,0.994,,,,,,,,,,,,,,,
96,0.966,0.994,0.97,0.991,,,,,,,,,,,,,,,
97,0.969,0.991,0.973,0.991,,,,,,,,,,,,,,,
98,0.968,0.991,0.974,0.994,,,,,,,,,,,,,,,
99,0.969,0.995,0.975,0.991,,,,,,,,,,,,,,,
100,0.977,0.991,0.977,0.992,,,,,,,,,,,,,,,
101,0.976,0.99,0.965,0.992,,,,,,,,,,,,,,,
102,0.975,0.989,0.971,0.993,,,,,,,,,,,,,,,
103,0.964,0.992,0.965,0.99,,,,,,,,,,,,,,,
104,0.961,0.993,0.964,0.991,,,,,,,,,,,,,,,
105,0.976,0.992,0.973,0.994,,,,,,,,,,,,,,,
106,0.974,0.991,0.967,0.993,,,,,,,,,,,,,,,
107,0.97,0.991,0.962,0.991,,,,,,,,,,,,,,,
108,0.969,0.994,0.972,0.989,,,,,,,,,,,,,,,
109,0.97,0.992,0.971,0.991,,,,,,,,,,,,,,,
110,0.97,0.992,0.968,0.994,,,,,,,,,,,,,,,
111,0.968,0.994,0.962,0.988,,,,,,,,,,,,,,,
112,0.975,0.993,0.973,0.994,,,,,,,,,,,,,,,
113,0.973,0.991,0.979,0.994,,,,,,,,,,,,,,,
114,0.97,0.992,0.961,0.994,,,,,,,,,,,,,,,
115,0.98,0.99,0.966,0.993,,,,,,,,,,,,,,,
116,0.968,0.993,0.955,0.992,,,,,,,,,,,,,,,
117,0.978,0.991,0.966,0.993,,,,,,,,,,,,,,,
118,0.972,0.995,0.974,0.99,,,,,,,,,,,,,,,
119,0.972,0.994,0.967,0.995,,,,,,,,,,,,,,,
120,0.976,0.992,0.97,0.991,,,,,,,,,,,,,,,
121,0.975,0.994,0.974,0.992,,,,,,,,,,,,,,,
122,0.975,0.992,0.977,0.993,,,,,,,,,,,,,,,
123,0.974,0.991,0.975,0.991,,,,,,,,,,,,,,,
124,0.97,0.992,0.973,0.992,,,,,,,,,,,,,,,
125,0.967,0.994,0.97,0.993,,,,,,,,,,,,,,,
126,0.971,0.993,0.961,0.993,,,,,,,,,,,,,,,
127,0.97,0.993,0.973,0.992,,,,,,,,,,,,,,,
128,0.973,0.992,0.975,0.988,,,,,,,,,,,,,,,
129,0.972,0.992,0.972,0.991,,,,,,,,,,,,,,,
130,0.977,0.992,0.965,0.995,,,,,,,,,,,,,,,
131,0.965,0.994,0.969,0.993,,,,,,,,,,,,,,,
132,0.964,0.991,0.971,0.989,,,,,,,,,,,,,,,
133,0.96,0.994,0.977,0.992,,,,,,,,,,,,,,,
134,0.97,0.993,0.978,0.994,,,,,,,,,,,,,,,
135,0.976,0.993,0.97,0.992,,,,,,,,,,,,,,,
136,0.971,0.993,0.962,0.994,,,,,,,,,,,,,,,
137,0.966,0.994,0.977,0.994,,,,,,,,,,,,,,,
138,0.975,0.992,0.968,0.989,,,,,,,,,,,,,,,
139,0.979,0.993,0.972,0.992,,,,,,,,,,,,,,,
140,0.967,0.991,0.964,0.987,,,,,,,,,,,,,,,
141,0.974,0.992,0.972,0.995,,,,,,,,,,,,,,,
142,0.966,0.994,0.973,0.995,,,,,,,,,,,,,,,
143,0.968,0.988,0.971,0.994,,,,,,,,,,,,,,,
144,0.977,0.992,0.974,0.992,,,,,,,,,,,,,,,
145,0.974,0.994,0.962,0.994,,,,,,,,,,,,,,,
146,0.975,0.991,0.963,0.994,,,,,,,,,,,,,,,
147,0.97,0.99,0.977,0.99,,,,,,,,,,,,,,,
148,0.975,0.991,0.968,0.991,,,,,,,,,,,,,,,
149,0.968,0.993,0.974,0.995,,,,,,,,,,,,,,,
150,0.97,0.993,0.974,0.989,,,,,,,,,,,,,,,
151,0.971,0.991,0.974,0.993,,,,,,,,,,,,,,,
152,0.967,0.994,0.968,0.991,,,,,,,,,,,,,,,
153,0.961,0.99,0.97,0.99,,,,,,,,,,,,,,,
154,0.973,0.991,0.969,0.994,,,,,,,,,,,,,,,
155,0.976,0.99,0.971,0.991,,,,,,,,,,,,,,,
156,0.954,0.993,0.957,0.994,,,,,,,,,,,,,,,
157,0.974,0.994,0.969,0.994,,,,,,,,,,,,,,,
158,0.98,0.993,0.967,0.992,,,,,,,,,,,,,,,
159,0.967,0.994,0.966,0.994,,,,,,,,,,,,,,,
160,0.976,0.991,0.968,0.99,,,,,,,,,,,,,,,
161,0.971,0.994,0.97,0.993,,,,,,,,,,,,,,,
162,0.972,0.993,0.971,0.994,,,,,,,,,,,,,,,
163,0.967,0.992,0.962,0.991,,,,,,,,,,,,,,,
164,0.968,0.994,0.969,0.994,,,,,,,,,,,,,,,
165,0.979,0.991,0.977,0.992,,,,,,,,,,,,,,,
166,0.972,0.992,0.966,0.994,,,,,,,,,,,,,,,
167,0.961,0.994,0.976,0.991,,,,,,,,,,,,,,,
168,0.973,0.991,0.967,0.991,,,,,,,,,,,,,,,
169,0.962,0.995,0.965,0.994,,,,,,,,,,,,,,,
170,0.976,0.991,0.97,0.99,,,,,,,,,,,,,,,
171,0.976,0.992,0.966,0.991,,,,,,,,,,,,,,,
172,0.972,0.994,0.979,0.992,,,,,,,,,,,,,,,
173,0.972,0.991,0.963,0.991,,,,,,,,,,,,,,,
174,0.973,0.993,0.965,0.991,,,,,,,,,,,,,,,
175,0.972,0.992,0.971,0.994,,,,,,,,,,,,,,,
176,0.974,0.99,0.97,0.993,,,,,,,,,,,,,,,
177,0.963,0.993,0.966,0.995,,,,,,,,,,,,,,,
178,0.966,0.994,0.966,0.992,,,,,,,,,,,,,,,
179,0.969,0.994,0.964,0.995,,,,,,,,,,,,,,,
180,0.972,0.993,0.963,0.992,,,,,,,,,,,,,,,
181,0.975,0.988,0.968,0.993,,,,,,,,,,,,,,,
182,0.976,0.993,0.975,0.992,,,,,,,,,,,,,,,
183,0.959,0.991,0.963,0.991,,,,,,,,,,,,,,,
184,0.963,0.992,0.97,0.993,,,,,,,,,,,,,,,
185,0.971,0.99,0.971,0.993,,,,,,,,,,,,,,,
186,0.972,0.993,0.967,0.995,,,,,,,,,,,,,,,
187,0.968,0.995,0.965,0.99,,,,,,,,,,,,,,,
188,0.975,0.992,0.971,0.99,,,,,,,,,,,,,,,
189,0.963,0.994,0.965,0.995,,,,,,,,,,,,,,,
190,0.978,0.995,0.966,0.995,,,,,,,,,,,,,,,
191,0.969,0.991,0.968,0.994,,,,,,,,,,,,,,,
192,0.972,0.993,0.969,0.994,,,,,,,,,,,,,,,
193,0.967,0.993,0.971,0.994,,,,,,,,,,,,,,,
194,0.962,0.992,0.965,0.992,,,,,,,,,,,,,,,
195,0.973,0.993,0.969,0.992,,,,,,,,,,,,,,,
196,0.968,0.992,0.975,0.994,,,,,,,,,,,,,,,
197,0.973,0.99,0.967,0.993,,,,,,,,,,,,,,,
198,0.972,0.994,0.974,0.99,,,,,,,,,,,,,,,
199,0.971,0.991,0.966,0.994,,,,,,,,,,,,,,,
200,0.977,0.99,0.97,0.993,,,,,,,,,,,,,,,
201,0.971,0.992,0.971,0.991,,,,,,,,,,,,,,,
202,0.977,0.992,0.966,0.992,,,,,,,,,,,,,,,
203,0.968,0.993,0.977,0.995,,,,,,,,,,,,,,,
204,0.975,0.991,0.97,0.994,,,,,,,,,,,,,,,
205,0.975,0.991,0.969,0.993,,,,,,,,,,,,,,,
206,0.974,0.989,0.977,0.994,,,,,,,,,,,,,,,
207,0.968,0.993,0.974,0.992,,,,,,,,,,,,,,,
208,0.974,0.994,0.971,0.995,,,,,,,,,,,,,,,
209,0.975,0.994,0.972,0.99,,,,,,,,,,,,,,,
210,0.968,0.993,0.965,0.991,,,,,,,,,,,,,,,
211,0.966,0.993,0.972,0.991,,,,,,,,,,,,,,,
212,0.974,0.994,0.966,0.993,,,,,,,,,,,,,,,
213,0.964,0.991,0.978,0.993,,,,,,,,,,,,,,,
214,0.976,0.992,0.977,0.991,,,,,,,,,,,,,,,
215,0.975,0.989,0.975,0.992,,,,,,,,,,,,,,,
216,0.971,0.991,0.96,0.991,,,,,,,,,,,,,,,
217,0.975,0.992,0.972,0.993,,,,,,,,,,,,,,,
218,0.956,0.993,0.967,0.992,,,,,,,,,,,,,,,
219,0.96,0.994,0.97,0.993,,,,,,,,,,,,,,,
