,v,a,z,t,model,ntrials,npp,mean_v,mean_a,mean_z,mean_t,std_v,std_a,std_z,std_t,tau,nreps,full_speed,output_folder
0,0.972,0.993,0.97,0.992,,,,,,,,,,,,,,,
1,0.975,0.992,0.975,0.994,,,,,,,,,,,,,,,
2,0.974,0.992,0.968,0.993,,,,,,,,,,,,,,,
3,0.97,0.993,0.968,0.992,,,,,,,,,,,,,,,
4,0.973,0.993,0.976,0.991,,,,,,,,,,,,,,,
5,0.97,0.992,0.965,0.993,,,,,,,,,,,,,,,
6,0.972,0.992,0.96,0.992,,,,,,,,,,,,,,,
7,0.964,0.995,0.967,0.993,,,,,,,,,,,,,,,
8,0.973,0.993,0.97,0.99,,,,,,,,,,,,,,,
9,0.967,0.994,0.972,0.993,,,,,,,,,,,,,,,
10,0.97,0.994,0.964,0.991,,,,,,,,,,,,,,,
11,0.976,0.994,0.973,0.992,,,,,,,,,,,,,,,
12,0.975,0.993,0.966,0.994,,,,,,,,,,,,,,,
13,0.963,0.994,0.97,0.993,,,,,,,,,,,,,,,
14,0.979,0.991,0.967,0.993,,,,,,,,,,,,,,,
15,0.973,0.993,0.976,0.995,,,,,,,,,,,,,,,
16,0.975,0.992,0.973,0.993,,,,,,,,,,,,,,,
17,0.975,0.993,0.967,0.993,,,,,,,,,,,,,,,
18,0.97,0.993,0.967,0.992,,,,,,,,,,,,,,,
19,0.976,0.994,0.965,0.994,,,,,,,,,,,,,,,
20,0.978,0.992,0.969,0.993,,,,,,,,,,,,,,,
21,0.97,0.99,0.97,0.993,,,,,,,,,,,,,,,
22,0.98,0.993,0.965,0.991,,,,,,,,,,,,,,,
23,0.976,0.993,0.976,0.993,,,,,,,,,,,,,,,
24,0.972,0.994,0.973,0.994,,,,,,,,,,,,,,,
25,0.979,0.991,0.971,0.99,,,,,,,,,,,,,,,
26,0.958,0.993,0.97,0.993,,,,,,,,,,,,,,,
27,0.97,0.992,0.965,0.993,,,,,,,,,,,,,,,
28,0.976,0.992,0.969,0.994,,,,,,,,,,,,,,,
29,0.964,0.994,0.975,0.992,,,,,,,,,,,,,,,
30,0.975,0.991,0.975,0.992,,,,,,,,,,,,,,,
31,0.974,0.993,0.971,0.992,,,,,,,,,,,,,,,
32,0.975,0.992,0.97,0.993,,,,,,,,,,,,,,,
33,0.97,0.992,0.972,0.992,,,,,,,,,,,,,,,
34,0.975,0.993,0.973,0.993,,,,,,,,,,,,,,,
35,0.972,0.992,0.967,0.992,,,,,,,,,,,,,,,
36,0.977,0.991,0.965,0.993,,,,,,,,,,,,,,,
37,0.975,0.992,0.971,0.992,,,,,,,,,,,,,,,
38,0.975,0.991,0.972,0.993,,,,,,,,,,,,,,,
39,0.975,0.993,0.978,0.992,,,,,,,,,,,,,,,
40,0.974,0.992,0.971,0.994,,,,,,,,,,,,,,,
41,0.962,0.992,0.964,0.994,,,,,,,,,,,,,,,
42,0.97,0.993,0.965,0.991,,,,,,,,,,,,,,,
