,v,a,z,t,model,ntrials,npp,mean_v,mean_a,mean_z,mean_t,std_v,std_a,std_z,std_t,tau,nreps,full_speed,output_folder
0,0.961,0.995,0.982,0.996,,,,,,,,,,,,,,,
1,0.985,0.994,0.983,0.995,,,,,,,,,,,,,,,
2,0.979,0.996,0.982,0.995,,,,,,,,,,,,,,,
3,0.982,0.996,0.984,0.996,,,,,,,,,,,,,,,
4,0.979,0.996,0.982,0.996,,,,,,,,,,,,,,,
5,0.824,0.995,0.969,0.994,,,,,,,,,,,,,,,
6,0.984,0.996,0.981,0.997,,,,,,,,,,,,,,,
7,0.981,0.997,0.98,0.995,,,,,,,,,,,,,,,
8,0.983,0.996,0.981,0.994,,,,,,,,,,,,,,,
9,0.984,0.996,0.98,0.996,,,,,,,,,,,,,,,
10,0.986,0.994,0.979,0.995,,,,,,,,,,,,,,,
11,0.986,0.997,0.981,0.995,,,,,,,,,,,,,,,
12,0.984,0.995,0.974,0.996,,,,,,,,,,,,,,,
13,0.983,0.996,0.974,0.995,,,,,,,,,,,,,,,
14,0.985,0.995,0.98,0.995,,,,,,,,,,,,,,,
15,0.982,0.994,0.983,0.995,,,,,,,,,,,,,,,
16,0.977,0.995,0.982,0.995,,,,,,,,,,,,,,,
17,0.981,0.995,0.979,0.995,,,,,,,,,,,,,,,
18,0.983,0.995,0.977,0.995,,,,,,,,,,,,,,,
19,0.982,0.996,0.976,0.995,,,,,,,,,,,,,,,
20,0.981,0.995,0.978,0.995,,,,,,,,,,,,,,,
21,0.98,0.996,0.981,0.996,,,,,,,,,,,,,,,
22,0.982,0.996,0.984,0.997,,,,,,,,,,,,,,,
23,0.978,0.996,0.975,0.996,,,,,,,,,,,,,,,
24,0.985,0.995,0.986,0.995,,,,,,,,,,,,,,,
25,0.968,0.995,0.982,0.996,,,,,,,,,,,,,,,
26,0.986,0.997,0.985,0.995,,,,,,,,,,,,,,,
27,0.98,0.996,0.982,0.997,,,,,,,,,,,,,,,
28,0.983,0.995,0.98,0.995,,,,,,,,,,,,,,,
29,0.985,0.996,0.984,0.997,,,,,,,,,,,,,,,
30,0.984,0.996,0.979,0.996,,,,,,,,,,,,,,,
31,0.984,0.995,0.983,0.997,,,,,,,,,,,,,,,
32,0.982,0.996,0.981,0.996,,,,,,,,,,,,,,,
33,0.982,0.996,0.98,0.995,,,,,,,,,,,,,,,
34,0.984,0.995,0.979,0.994,,,,,,,,,,,,,,,
35,0.983,0.996,0.982,0.995,,,,,,,,,,,,,,,
36,0.979,0.995,0.977,0.994,,,,,,,,,,,,,,,
37,0.986,0.996,0.979,0.996,,,,,,,,,,,,,,,
38,0.98,0.996,0.977,0.997,,,,,,,,,,,,,,,
39,0.982,0.996,0.977,0.996,,,,,,,,,,,,,,,
40,0.96,0.993,0.963,0.995,,,,,,,,,,,,,,,
41,0.986,0.995,0.982,0.996,,,,,,,,,,,,,,,
42,0.976,0.995,0.982,0.995,,,,,,,,,,,,,,,
43,0.98,0.996,0.978,0.996,,,,,,,,,,,,,,,
44,0.989,0.995,0.98,0.995,,,,,,,,,,,,,,,
45,0.819,0.994,0.978,0.996,,,,,,,,,,,,,,,
46,0.982,0.996,0.98,0.996,,,,,,,,,,,,,,,
47,0.983,0.997,0.983,0.997,,,,,,,,,,,,,,,
48,0.977,0.995,0.979,0.996,,,,,,,,,,,,,,,
49,0.983,0.995,0.979,0.996,,,,,,,,,,,,,,,
50,0.981,0.995,0.982,0.994,,,,,,,,,,,,,,,
51,0.977,0.997,0.982,0.995,,,,,,,,,,,,,,,
52,0.981,0.997,0.975,0.996,,,,,,,,,,,,,,,
53,0.981,0.994,0.981,0.996,,,,,,,,,,,,,,,
54,0.982,0.996,0.984,0.996,,,,,,,,,,,,,,,
55,0.986,0.994,0.98,0.996,,,,,,,,,,,,,,,
56,0.982,0.995,0.978,0.996,,,,,,,,,,,,,,,
57,0.977,0.996,0.984,0.997,,,,,,,,,,,,,,,
58,0.982,0.996,0.983,0.995,,,,,,,,,,,,,,,
59,0.981,0.996,0.983,0.996,,,,,,,,,,,,,,,
60,0.828,0.995,0.942,0.995,,,,,,,,,,,,,,,
61,0.983,0.996,0.977,0.994,,,,,,,,,,,,,,,
62,0.98,0.997,0.982,0.997,,,,,,,,,,,,,,,
63,0.981,0.996,0.978,0.996,,,,,,,,,,,,,,,
64,0.976,0.996,0.979,0.995,,,,,,,,,,,,,,,
65,0.832,0.996,0.968,0.997,,,,,,,,,,,,,,,
66,0.983,0.995,0.984,0.996,,,,,,,,,,,,,,,
67,0.974,0.996,0.98,0.996,,,,,,,,,,,,,,,
68,0.985,0.995,0.981,0.995,,,,,,,,,,,,,,,
69,0.987,0.996,0.981,0.997,,,,,,,,,,,,,,,
70,0.838,0.995,0.822,0.996,,,,,,,,,,,,,,,
71,0.984,0.996,0.984,0.996,,,,,,,,,,,,,,,
72,0.985,0.996,0.982,0.995,,,,,,,,,,,,,,,
73,0.982,0.996,0.982,0.997,,,,,,,,,,,,,,,
74,0.981,0.996,0.986,0.995,,,,,,,,,,,,,,,
