,v,a,z,t,model,ntrials,npp,mean_v,mean_a,mean_z,mean_t,std_v,std_a,std_z,std_t,tau,nreps,full_speed,output_folder
0,0.989,0.997,0.99,0.999,,,,,,,,,,,,,,,
1,0.989,0.998,0.99,0.994,,,,,,,,,,,,,,,
2,0.992,0.999,0.993,0.998,,,,,,,,,,,,,,,
3,0.995,0.998,0.984,0.998,,,,,,,,,,,,,,,
4,0.994,0.997,0.994,0.998,,,,,,,,,,,,,,,
5,0.988,0.997,0.99,0.998,,,,,,,,,,,,,,,
6,0.979,0.998,0.988,0.997,,,,,,,,,,,,,,,
7,0.992,0.998,0.989,0.996,,,,,,,,,,,,,,,
8,0.99,0.998,0.986,0.997,,,,,,,,,,,,,,,
9,0.995,0.996,0.986,0.999,,,,,,,,,,,,,,,
10,0.986,0.998,0.988,0.999,,,,,,,,,,,,,,,
11,0.982,0.997,0.991,0.998,,,,,,,,,,,,,,,
12,0.99,0.997,0.988,0.993,,,,,,,,,,,,,,,
13,0.987,0.998,0.992,0.996,,,,,,,,,,,,,,,
14,0.99,0.997,0.993,0.999,,,,,,,,,,,,,,,
15,0.987,0.997,0.99,0.999,,,,,,,,,,,,,,,
16,0.987,0.998,0.99,0.996,,,,,,,,,,,,,,,
17,0.991,0.999,0.986,0.997,,,,,,,,,,,,,,,
18,0.991,0.997,0.988,0.997,,,,,,,,,,,,,,,
19,0.992,0.997,0.99,0.997,,,,,,,,,,,,,,,
20,0.987,0.997,0.99,0.999,,,,,,,,,,,,,,,
21,0.992,0.996,0.987,0.997,,,,,,,,,,,,,,,
22,0.993,0.997,0.988,0.997,,,,,,,,,,,,,,,
23,0.993,0.998,0.988,0.999,,,,,,,,,,,,,,,
24,0.991,0.996,0.985,0.996,,,,,,,,,,,,,,,
25,0.987,0.997,0.99,0.999,,,,,,,,,,,,,,,
26,0.987,0.998,0.99,0.996,,,,,,,,,,,,,,,
27,0.988,0.999,0.984,0.997,,,,,,,,,,,,,,,
28,0.99,0.997,0.979,0.995,,,,,,,,,,,,,,,
29,0.992,0.998,0.989,0.997,,,,,,,,,,,,,,,
30,0.99,0.997,0.988,0.999,,,,,,,,,,,,,,,
31,0.992,0.996,0.991,0.998,,,,,,,,,,,,,,,
32,0.992,0.998,0.988,0.997,,,,,,,,,,,,,,,
33,0.986,0.998,0.992,0.997,,,,,,,,,,,,,,,
34,0.994,0.998,0.995,0.998,,,,,,,,,,,,,,,
35,0.99,0.997,0.99,0.999,,,,,,,,,,,,,,,
36,0.987,0.998,0.99,0.998,,,,,,,,,,,,,,,
37,0.992,0.998,0.99,0.996,,,,,,,,,,,,,,,
38,0.994,0.996,0.991,0.998,,,,,,,,,,,,,,,
39,0.994,0.999,0.995,0.999,,,,,,,,,,,,,,,
40,0.99,0.997,0.99,0.999,,,,,,,,,,,,,,,
41,0.988,0.998,0.993,0.998,,,,,,,,,,,,,,,
42,0.994,0.998,0.99,0.997,,,,,,,,,,,,,,,
43,0.99,0.998,0.993,0.997,,,,,,,,,,,,,,,
44,0.994,0.997,0.989,0.998,,,,,,,,,,,,,,,
45,0.99,0.997,0.99,0.999,,,,,,,,,,,,,,,
46,0.992,0.996,0.987,0.997,,,,,,,,,,,,,,,
47,0.991,0.998,0.99,0.998,,,,,,,,,,,,,,,
48,0.99,0.996,0.993,0.998,,,,,,,,,,,,,,,
49,0.991,0.997,0.992,0.999,,,,,,,,,,,,,,,
50,0.986,0.997,0.987,0.998,,,,,,,,,,,,,,,
51,0.981,0.997,0.988,0.997,,,,,,,,,,,,,,,
52,0.992,0.997,0.993,0.999,,,,,,,,,,,,,,,
53,0.993,0.997,0.989,0.998,,,,,,,,,,,,,,,
54,0.991,0.998,0.989,0.998,,,,,,,,,,,,,,,
55,0.991,0.997,0.984,0.998,,,,,,,,,,,,,,,
56,0.994,0.996,0.987,0.997,,,,,,,,,,,,,,,
57,0.986,0.998,0.993,0.998,,,,,,,,,,,,,,,
58,0.992,0.997,0.985,0.998,,,,,,,,,,,,,,,
59,0.99,0.999,0.989,0.999,,,,,,,,,,,,,,,
60,0.991,0.999,0.985,0.999,,,,,,,,,,,,,,,
61,0.988,0.997,0.988,0.996,,,,,,,,,,,,,,,
62,0.99,0.999,0.99,0.998,,,,,,,,,,,,,,,
63,0.991,0.997,0.989,0.996,,,,,,,,,,,,,,,
64,0.995,0.995,0.994,0.997,,,,,,,,,,,,,,,
65,0.993,0.998,0.985,0.999,,,,,,,,,,,,,,,
66,0.989,0.998,0.993,0.998,,,,,,,,,,,,,,,
67,0.993,0.998,0.992,0.998,,,,,,,,,,,,,,,
68,0.99,0.998,0.99,0.998,,,,,,,,,,,,,,,
69,0.992,0.998,0.985,0.997,,,,,,,,,,,,,,,
70,0.992,0.999,0.985,0.999,,,,,,,,,,,,,,,
71,0.989,0.998,0.986,0.997,,,,,,,,,,,,,,,
72,0.994,0.997,0.991,0.998,,,,,,,,,,,,,,,
73,0.992,0.997,0.993,0.997,,,,,,,,,,,,,,,
74,0.993,0.997,0.992,0.997,,,,,,,,,,,,,,,
75,0.99,0.998,0.989,0.997,,,,,,,,,,,,,,,
76,0.991,0.998,0.992,0.995,,,,,,,,,,,,,,,
77,0.992,0.999,0.992,0.998,,,,,,,,,,,,,,,
78,0.992,0.998,0.98,0.996,,,,,,,,,,,,,,,
79,0.994,0.998,0.99,0.998,,,,,,,,,,,,,,,
80,0.991,0.999,0.985,0.999,,,,,,,,,,,,,,,
81,0.983,0.997,0.989,0.996,,,,,,,,,,,,,,,
82,0.993,0.998,0.99,0.998,,,,,,,,,,,,,,,
83,0.985,0.998,0.986,0.998,,,,,,,,,,,,,,,
84,0.983,0.998,0.991,0.999,,,,,,,,,,,,,,,
85,0.984,0.998,0.98,0.998,,,,,,,,,,,,,,,
86,0.994,0.998,0.99,0.998,,,,,,,,,,,,,,,
87,0.991,0.998,0.987,0.997,,,,,,,,,,,,,,,
88,0.989,0.997,0.985,0.998,,,,,,,,,,,,,,,
89,0.993,0.997,0.99,0.997,,,,,,,,,,,,,,,
90,0.991,0.999,0.991,0.997,,,,,,,,,,,,,,,
91,0.985,0.997,0.988,0.999,,,,,,,,,,,,,,,
92,0.993,0.997,0.99,0.996,,,,,,,,,,,,,,,
93,0.983,0.999,0.989,0.998,,,,,,,,,,,,,,,
94,0.994,0.997,0.993,0.999,,,,,,,,,,,,,,,
