,v,a,z,t,model,ntrials,npp,mean_v,mean_a,mean_z,mean_t,std_v,std_a,std_z,std_t,tau,nreps,full_speed,output_folder
94,0.989,0.998,0.987,0.998,,,,,,,,,,,,,,,
95,0.991,0.997,0.989,0.997,,,,,,,,,,,,,,,
96,0.99,0.998,0.989,0.998,,,,,,,,,,,,,,,
97,0.991,0.997,0.988,0.997,,,,,,,,,,,,,,,
98,0.992,0.997,0.989,0.997,,,,,,,,,,,,,,,
99,0.988,0.997,0.988,0.998,,,,,,,,,,,,,,,
100,0.989,0.998,0.99,0.998,,,,,,,,,,,,,,,
101,0.991,0.998,0.991,0.998,,,,,,,,,,,,,,,
102,0.989,0.997,0.989,0.998,,,,,,,,,,,,,,,
103,0.988,0.997,0.991,0.998,,,,,,,,,,,,,,,
104,0.989,0.997,0.988,0.998,,,,,,,,,,,,,,,
105,0.991,0.998,0.99,0.998,,,,,,,,,,,,,,,
106,0.991,0.998,0.991,0.998,,,,,,,,,,,,,,,
107,0.991,0.998,0.992,0.997,,,,,,,,,,,,,,,
108,0.989,0.998,0.987,0.998,,,,,,,,,,,,,,,
109,0.991,0.997,0.99,0.997,,,,,,,,,,,,,,,
110,0.991,0.997,0.988,0.998,,,,,,,,,,,,,,,
111,0.991,0.997,0.989,0.998,,,,,,,,,,,,,,,
112,0.99,0.998,0.989,0.998,,,,,,,,,,,,,,,
113,0.991,0.998,0.992,0.997,,,,,,,,,,,,,,,
114,0.989,0.998,0.989,0.998,,,,,,,,,,,,,,,
115,0.991,0.998,0.987,0.998,,,,,,,,,,,,,,,
116,0.99,0.997,0.989,0.998,,,,,,,,,,,,,,,
117,0.992,0.997,0.988,0.998,,,,,,,,,,,,,,,
118,0.99,0.998,0.989,0.997,,,,,,,,,,,,,,,
119,0.988,0.998,0.987,0.997,,,,,,,,,,,,,,,
120,0.985,0.998,0.992,0.998,,,,,,,,,,,,,,,
121,0.99,0.998,0.991,0.998,,,,,,,,,,,,,,,
122,0.993,0.998,0.989,0.998,,,,,,,,,,,,,,,
123,0.992,0.998,0.99,0.997,,,,,,,,,,,,,,,
124,0.992,0.997,0.988,0.997,,,,,,,,,,,,,,,
125,0.989,0.998,0.987,0.998,,,,,,,,,,,,,,,
126,0.991,0.997,0.988,0.998,,,,,,,,,,,,,,,
127,0.991,0.998,0.986,0.997,,,,,,,,,,,,,,,
128,0.991,0.998,0.991,0.997,,,,,,,,,,,,,,,
129,0.992,0.998,0.988,0.997,,,,,,,,,,,,,,,
130,0.988,0.998,0.99,0.998,,,,,,,,,,,,,,,
131,0.992,0.998,0.993,0.998,,,,,,,,,,,,,,,
132,0.987,0.998,0.988,0.998,,,,,,,,,,,,,,,
133,0.989,0.998,0.991,0.997,,,,,,,,,,,,,,,
134,0.99,0.998,0.989,0.998,,,,,,,,,,,,,,,
135,0.988,0.998,0.991,0.998,,,,,,,,,,,,,,,
136,0.991,0.998,0.991,0.997,,,,,,,,,,,,,,,
137,0.992,0.997,0.987,0.998,,,,,,,,,,,,,,,
138,0.988,0.998,0.992,0.998,,,,,,,,,,,,,,,
139,0.987,0.998,0.988,0.998,,,,,,,,,,,,,,,
140,0.989,0.998,0.99,0.998,,,,,,,,,,,,,,,
141,0.99,0.997,0.99,0.998,,,,,,,,,,,,,,,
142,0.99,0.997,0.989,0.996,,,,,,,,,,,,,,,
143,0.992,0.997,0.992,0.997,,,,,,,,,,,,,,,
144,0.99,0.997,0.987,0.996,,,,,,,,,,,,,,,
145,0.99,0.997,0.99,0.998,,,,,,,,,,,,,,,
146,0.992,0.997,0.99,0.998,,,,,,,,,,,,,,,
147,0.988,0.998,0.989,0.998,,,,,,,,,,,,,,,
148,0.99,0.998,0.99,0.997,,,,,,,,,,,,,,,
149,0.988,0.998,0.985,0.998,,,,,,,,,,,,,,,
150,0.989,0.998,0.989,0.998,,,,,,,,,,,,,,,
151,0.985,0.997,0.991,0.997,,,,,,,,,,,,,,,
152,0.991,0.998,0.99,0.998,,,,,,,,,,,,,,,
153,0.991,0.997,0.988,0.998,,,,,,,,,,,,,,,
154,0.988,0.997,0.989,0.998,,,,,,,,,,,,,,,
155,0.99,0.998,0.987,0.997,,,,,,,,,,,,,,,
156,0.99,0.997,0.988,0.998,,,,,,,,,,,,,,,
157,0.989,0.997,0.989,0.998,,,,,,,,,,,,,,,
158,0.99,0.997,0.988,0.998,,,,,,,,,,,,,,,
159,0.989,0.997,0.991,0.998,,,,,,,,,,,,,,,
160,0.986,0.998,0.989,0.998,,,,,,,,,,,,,,,
161,0.988,0.998,0.989,0.997,,,,,,,,,,,,,,,
162,0.989,0.998,0.985,0.998,,,,,,,,,,,,,,,
163,0.992,0.998,0.989,0.996,,,,,,,,,,,,,,,
164,0.991,0.998,0.992,0.998,,,,,,,,,,,,,,,
165,0.99,0.998,0.99,0.997,,,,,,,,,,,,,,,
166,0.99,0.997,0.99,0.997,,,,,,,,,,,,,,,
167,0.988,0.998,0.99,0.998,,,,,,,,,,,,,,,
168,0.992,0.997,0.988,0.997,,,,,,,,,,,,,,,
169,0.989,0.998,0.991,0.998,,,,,,,,,,,,,,,
170,0.99,0.998,0.987,0.998,,,,,,,,,,,,,,,
171,0.99,0.998,0.989,0.996,,,,,,,,,,,,,,,
172,0.987,0.997,0.989,0.998,,,,,,,,,,,,,,,
173,0.991,0.997,0.989,0.998,,,,,,,,,,,,,,,
174,0.988,0.998,0.987,0.997,,,,,,,,,,,,,,,
175,0.991,0.998,0.991,0.998,,,,,,,,,,,,,,,
176,0.988,0.997,0.989,0.998,,,,,,,,,,,,,,,
177,0.987,0.998,0.989,0.998,,,,,,,,,,,,,,,
178,0.993,0.997,0.991,0.998,,,,,,,,,,,,,,,
179,0.99,0.998,0.99,0.997,,,,,,,,,,,,,,,
180,0.986,0.998,0.989,0.998,,,,,,,,,,,,,,,
181,0.989,0.998,0.991,0.997,,,,,,,,,,,,,,,
182,0.992,0.998,0.988,0.998,,,,,,,,,,,,,,,
183,0.99,0.998,0.989,0.997,,,,,,,,,,,,,,,
184,0.988,0.997,0.99,0.998,,,,,,,,,,,,,,,
185,0.989,0.998,0.987,0.998,,,,,,,,,,,,,,,
186,0.987,0.998,0.991,0.998,,,,,,,,,,,,,,,
187,0.991,0.998,0.988,0.997,,,,,,,,,,,,,,,
188,0.993,0.997,0.987,0.997,,,,,,,,,,,,,,,
189,0.989,0.997,0.986,0.998,,,,,,,,,,,,,,,
190,0.991,0.998,0.991,0.998,,,,,,,,,,,,,,,
191,0.988,0.998,0.991,0.997,,,,,,,,,,,,,,,
192,0.991,0.998,0.988,0.998,,,,,,,,,,,,,,,
193,0.991,0.997,0.988,0.997,,,,,,,,,,,,,,,
194,0.988,0.998,0.991,0.998,,,,,,,,,,,,,,,
195,0.992,0.998,0.989,0.997,,,,,,,,,,,,,,,
196,0.991,0.998,0.99,0.998,,,,,,,,,,,,,,,
197,0.991,0.998,0.986,0.997,,,,,,,,,,,,,,,
198,0.992,0.997,0.988,0.998,,,,,,,,,,,,,,,
199,0.991,0.997,0.987,0.997,,,,,,,,,,,,,,,
200,0.988,0.998,0.99,0.998,,,,,,,,,,,,,,,
201,0.988,0.997,0.989,0.998,,,,,,,,,,,,,,,
202,0.992,0.998,0.989,0.998,,,,,,,,,,,,,,,
203,0.99,0.998,0.988,0.997,,,,,,,,,,,,,,,
204,0.989,0.997,0.989,0.997,,,,,,,,,,,,,,,
205,0.988,0.998,0.987,0.998,,,,,,,,,,,,,,,
206,0.985,0.997,0.992,0.998,,,,,,,,,,,,,,,
207,0.99,0.998,0.99,0.998,,,,,,,,,,,,,,,
208,0.992,0.998,0.988,0.998,,,,,,,,,,,,,,,
209,0.987,0.998,0.989,0.998,,,,,,,,,,,,,,,
210,0.987,0.998,0.988,0.998,,,,,,,,,,,,,,,
211,0.988,0.998,0.989,0.998,,,,,,,,,,,,,,,
212,0.991,0.997,0.986,0.998,,,,,,,,,,,,,,,
213,0.993,0.997,0.991,0.997,,,,,,,,,,,,,,,
214,0.99,0.998,0.989,0.998,,,,,,,,,,,,,,,
215,0.987,0.998,0.986,0.997,,,,,,,,,,,,,,,
216,0.991,0.998,0.988,0.997,,,,,,,,,,,,,,,
217,0.99,0.996,0.991,0.998,,,,,,,,,,,,,,,
218,0.991,0.997,0.989,0.997,,,,,,,,,,,,,,,
219,0.99,0.998,0.99,0.997,,,,,,,,,,,,,,,
220,0.991,0.997,0.989,0.998,,,,,,,,,,,,,,,
221,0.988,0.998,0.991,0.999,,,,,,,,,,,,,,,
222,0.991,0.997,0.988,0.998,,,,,,,,,,,,,,,
223,0.989,0.997,0.986,0.998,,,,,,,,,,,,,,,
