,v,a,z,t,model,ntrials,npp,mean_v,mean_a,mean_z,mean_t,std_v,std_a,std_z,std_t,tau,nreps,full_speed,output_folder
0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
57,,,,,ddm,400,80,0,1.18,0.5,0.5,0.3,0.33,0.1,0.25,0.8,500,1,
