,v,a,z,t,model,ntrials,npp,mean_v,mean_a,mean_z,mean_t,std_v,std_a,std_z,std_t,tau,nreps,full_speed,output_folder
0,0.988,0.997,0.99,0.998,,,,,,,,,,,,,,,
1,0.987,0.997,0.988,0.997,,,,,,,,,,,,,,,
2,0.987,0.997,0.988,0.998,,,,,,,,,,,,,,,
3,0.986,0.996,0.986,0.997,,,,,,,,,,,,,,,
4,0.986,0.998,0.989,0.998,,,,,,,,,,,,,,,
5,0.98,0.997,0.988,0.997,,,,,,,,,,,,,,,
6,0.989,0.996,0.99,0.997,,,,,,,,,,,,,,,
7,0.987,0.997,0.989,0.997,,,,,,,,,,,,,,,
8,0.988,0.997,0.989,0.996,,,,,,,,,,,,,,,
9,0.982,0.997,0.989,0.997,,,,,,,,,,,,,,,
10,0.989,0.997,0.988,0.997,,,,,,,,,,,,,,,
11,0.989,0.997,0.99,0.996,,,,,,,,,,,,,,,
12,0.987,0.995,0.989,0.998,,,,,,,,,,,,,,,
13,0.988,0.996,0.987,0.996,,,,,,,,,,,,,,,
14,0.988,0.996,0.987,0.997,,,,,,,,,,,,,,,
15,0.988,0.996,0.988,0.996,,,,,,,,,,,,,,,
16,0.988,0.997,0.985,0.997,,,,,,,,,,,,,,,
17,0.988,0.996,0.986,0.998,,,,,,,,,,,,,,,
18,0.987,0.996,0.987,0.997,,,,,,,,,,,,,,,
19,0.987,0.997,0.989,0.998,,,,,,,,,,,,,,,
20,0.984,0.997,0.987,0.997,,,,,,,,,,,,,,,
21,0.99,0.996,0.987,0.997,,,,,,,,,,,,,,,
22,0.987,0.997,0.987,0.997,,,,,,,,,,,,,,,
23,0.989,0.997,0.986,0.996,,,,,,,,,,,,,,,
24,0.987,0.997,0.981,0.997,,,,,,,,,,,,,,,
25,0.989,0.996,0.987,0.997,,,,,,,,,,,,,,,
26,0.987,0.997,0.986,0.996,,,,,,,,,,,,,,,
27,0.989,0.997,0.983,0.997,,,,,,,,,,,,,,,
28,0.988,0.997,0.989,0.996,,,,,,,,,,,,,,,
29,0.986,0.997,0.988,0.997,,,,,,,,,,,,,,,
30,0.98,0.998,0.986,0.997,,,,,,,,,,,,,,,
31,0.987,0.996,0.988,0.997,,,,,,,,,,,,,,,
32,0.989,0.997,0.989,0.998,,,,,,,,,,,,,,,
33,0.991,0.996,0.989,0.997,,,,,,,,,,,,,,,
34,0.984,0.997,0.988,0.997,,,,,,,,,,,,,,,
35,0.988,0.997,0.988,0.996,,,,,,,,,,,,,,,
36,0.985,0.996,0.989,0.997,,,,,,,,,,,,,,,
