,v,a,z,t,model,ntrials,npp,mean_v,mean_a,mean_z,mean_t,std_v,std_a,std_z,std_t,tau,nreps,full_speed,output_folder
0,0.993,0.998,0.992,0.996,,,,,,,,,,,,,,,
1,0.987,0.994,0.975,0.996,,,,,,,,,,,,,,,
2,0.989,0.998,0.984,0.998,,,,,,,,,,,,,,,
3,0.988,0.998,0.988,0.996,,,,,,,,,,,,,,,
4,0.985,0.997,0.995,0.998,,,,,,,,,,,,,,,
5,0.989,0.997,0.988,0.993,,,,,,,,,,,,,,,
6,0.988,0.997,0.988,0.996,,,,,,,,,,,,,,,
7,0.995,0.996,0.99,0.993,,,,,,,,,,,,,,,
8,0.985,0.996,0.989,0.996,,,,,,,,,,,,,,,
9,0.988,0.996,0.991,0.997,,,,,,,,,,,,,,,
10,0.989,0.996,0.988,0.993,,,,,,,,,,,,,,,
11,0.991,0.997,0.985,0.996,,,,,,,,,,,,,,,
12,0.992,0.995,0.989,0.995,,,,,,,,,,,,,,,
13,0.989,0.996,0.982,0.993,,,,,,,,,,,,,,,
14,0.991,0.995,0.989,0.998,,,,,,,,,,,,,,,
15,0.983,0.998,0.992,0.996,,,,,,,,,,,,,,,
16,0.991,0.997,0.987,0.996,,,,,,,,,,,,,,,
17,0.989,0.997,0.982,0.998,,,,,,,,,,,,,,,
18,0.988,0.995,0.99,0.998,,,,,,,,,,,,,,,
19,0.99,0.997,0.988,0.998,,,,,,,,,,,,,,,
20,0.986,0.998,0.988,0.997,,,,,,,,,,,,,,,
21,0.987,0.997,0.987,0.996,,,,,,,,,,,,,,,
22,0.991,0.997,0.988,0.996,,,,,,,,,,,,,,,
23,0.976,0.997,0.984,0.998,,,,,,,,,,,,,,,
24,0.984,0.997,0.995,0.999,,,,,,,,,,,,,,,
25,0.984,0.995,0.984,0.997,,,,,,,,,,,,,,,
26,0.991,0.997,0.98,0.997,,,,,,,,,,,,,,,
27,0.994,0.996,0.987,0.995,,,,,,,,,,,,,,,
28,0.985,0.997,0.99,0.998,,,,,,,,,,,,,,,
29,0.993,0.998,0.992,0.997,,,,,,,,,,,,,,,
30,0.982,0.998,0.982,0.998,,,,,,,,,,,,,,,
31,0.988,0.995,0.988,0.995,,,,,,,,,,,,,,,
32,0.992,0.995,0.987,0.996,,,,,,,,,,,,,,,
33,0.988,0.996,0.991,0.995,,,,,,,,,,,,,,,
34,0.989,0.997,0.99,0.996,,,,,,,,,,,,,,,
35,0.988,0.998,0.99,0.997,,,,,,,,,,,,,,,
36,0.981,0.997,0.986,0.992,,,,,,,,,,,,,,,
37,0.988,0.998,0.99,0.998,,,,,,,,,,,,,,,
38,0.985,0.996,0.986,0.998,,,,,,,,,,,,,,,
39,0.992,0.998,0.983,0.998,,,,,,,,,,,,,,,
40,0.989,0.999,0.983,0.999,,,,,,,,,,,,,,,
41,0.988,0.996,0.99,0.997,,,,,,,,,,,,,,,
42,0.994,0.995,0.983,0.997,,,,,,,,,,,,,,,
43,0.99,0.997,0.985,0.997,,,,,,,,,,,,,,,
44,0.985,0.997,0.988,0.996,,,,,,,,,,,,,,,
45,0.986,0.997,0.981,0.998,,,,,,,,,,,,,,,
46,0.991,0.995,0.985,0.995,,,,,,,,,,,,,,,
47,0.988,0.998,0.987,0.996,,,,,,,,,,,,,,,
48,0.989,0.996,0.982,0.998,,,,,,,,,,,,,,,
49,0.991,0.998,0.988,0.996,,,,,,,,,,,,,,,
50,0.988,0.997,0.986,0.997,,,,,,,,,,,,,,,
51,0.991,0.998,0.983,0.996,,,,,,,,,,,,,,,
52,0.993,0.993,0.988,0.997,,,,,,,,,,,,,,,
53,0.992,0.998,0.988,0.998,,,,,,,,,,,,,,,
54,0.981,0.997,0.993,0.998,,,,,,,,,,,,,,,
55,0.988,0.997,0.985,0.998,,,,,,,,,,,,,,,
56,0.984,0.993,0.987,0.997,,,,,,,,,,,,,,,
57,0.993,0.998,0.983,0.997,,,,,,,,,,,,,,,
58,0.993,0.997,0.985,0.997,,,,,,,,,,,,,,,
59,0.982,0.997,0.993,0.998,,,,,,,,,,,,,,,
60,0.989,0.997,0.991,0.996,,,,,,,,,,,,,,,
61,0.981,0.996,0.977,0.997,,,,,,,,,,,,,,,
62,0.989,0.997,0.99,0.996,,,,,,,,,,,,,,,
63,0.988,0.996,0.987,0.999,,,,,,,,,,,,,,,
64,0.994,0.997,0.976,0.994,,,,,,,,,,,,,,,
65,0.987,0.996,0.99,0.992,,,,,,,,,,,,,,,
66,0.99,0.995,0.987,0.996,,,,,,,,,,,,,,,
67,0.991,0.999,0.98,0.997,,,,,,,,,,,,,,,
68,0.977,0.997,0.986,0.998,,,,,,,,,,,,,,,
69,0.985,0.997,0.99,0.998,,,,,,,,,,,,,,,
70,0.985,0.996,0.989,0.995,,,,,,,,,,,,,,,
71,0.992,0.994,0.98,0.994,,,,,,,,,,,,,,,
72,0.991,0.995,0.986,0.999,,,,,,,,,,,,,,,
73,0.994,0.995,0.985,0.998,,,,,,,,,,,,,,,
74,0.985,0.998,0.993,0.997,,,,,,,,,,,,,,,
75,0.987,0.998,0.99,0.997,,,,,,,,,,,,,,,
76,0.987,0.996,0.986,0.997,,,,,,,,,,,,,,,
77,0.991,0.994,0.99,0.996,,,,,,,,,,,,,,,
78,0.991,0.997,0.985,0.997,,,,,,,,,,,,,,,
79,0.984,0.997,0.991,0.996,,,,,,,,,,,,,,,
80,0.98,0.997,0.988,0.992,,,,,,,,,,,,,,,
81,0.992,0.995,0.987,0.997,,,,,,,,,,,,,,,
82,0.991,0.995,0.981,0.996,,,,,,,,,,,,,,,
83,0.987,0.997,0.977,0.997,,,,,,,,,,,,,,,
84,0.986,0.997,0.989,0.998,,,,,,,,,,,,,,,
85,0.984,0.998,0.983,0.995,,,,,,,,,,,,,,,
86,0.988,0.995,0.975,0.994,,,,,,,,,,,,,,,
87,0.981,0.997,0.981,0.998,,,,,,,,,,,,,,,
88,0.994,0.996,0.986,0.997,,,,,,,,,,,,,,,
89,0.99,0.997,0.994,0.996,,,,,,,,,,,,,,,
90,0.983,0.998,0.989,0.998,,,,,,,,,,,,,,,
91,0.986,0.997,0.99,0.996,,,,,,,,,,,,,,,
92,0.991,0.997,0.987,0.994,,,,,,,,,,,,,,,
93,0.987,0.998,0.987,0.997,,,,,,,,,,,,,,,
94,0.978,0.996,0.992,0.999,,,,,,,,,,,,,,,
95,0.986,0.998,0.989,0.996,,,,,,,,,,,,,,,
96,0.985,0.995,0.981,0.996,,,,,,,,,,,,,,,
97,0.993,0.996,0.989,0.998,,,,,,,,,,,,,,,
98,0.992,0.997,0.982,0.994,,,,,,,,,,,,,,,
