model,ntrials,npp,mean_v,mean_a,mean_z,mean_t,std_v,std_a,std_z,std_t,tau,nreps,full_speed
ddm,100,20,2.4,1.18,0.5,0.5,0.2,0.33,0.1,0.25,0.8,500,1
ddm,100,20,2.1,1.18,0.5,0.5,0.2,0.33,0.1,0.25,0.8,500,1
ddm,100,20,1.8,1.18,0.5,0.5,0.2,0.33,0.1,0.25,0.8,500,1
ddm,100,20,1.5,1.18,0.5,0.5,0.2,0.33,0.1,0.25,0.8,500,1
ddm,100,20,1.2,1.18,0.5,0.5,0.2,0.33,0.1,0.25,0.8,500,1
ddm,100,20,0.9,1.18,0.5,0.5,0.2,0.33,0.1,0.25,0.8,500,1
ddm,100,20,0.6,1.18,0.5,0.5,0.2,0.33,0.1,0.25,0.8,500,1
ddm,100,20,0.3,1.18,0.5,0.5,0.2,0.33,0.1,0.25,0.8,500,1
ddm,100,20,0,1.18,0.5,0.5,0.2,0.33,0.1,0.25,0.8,500,1
