model,ntrials,npp,mean_v,mean_a,mean_z,mean_t,std_v,std_a,std_z,std_t,tau,nreps,full_speed
ddm,100,40,2.4,1.18,0.5,0.5,0.2,0.33,0.1,0.25,0.8,5,1
ddm,200,40,2.4,1.18,0.5,0.5,0.2,0.33,0.1,0.25,0.8,5,1
