,Statistic,PValue,model,ntrials,npp_group,mean_v,mean_a,mean_z,mean_t,std_v,std_a,std_z,std_t,par_ind,TypeIerror,nreps,full_speed,output_folder
0,-9.945148633837034,2.91821594353443e-21,,,,,,,,,,,,,,,,
1,-7.2256436582039285,1.2815719148801927e-12,,,,,,,,,,,,,,,,
2,-8.564896206997771,1.1993662567156325e-16,,,,,,,,,,,,,,,,
3,-6.973371604181444,6.475255708528443e-12,,,,,,,,,,,,,,,,
4,-8.092066130521472,3.5938704493446555e-15,,,,,,,,,,,,,,,,
5,-9.588503535479445,4.9869692625539304e-20,,,,,,,,,,,,,,,,
6,-8.252222973228834,1.152856068418274e-15,,,,,,,,,,,,,,,,
7,-8.162742857655756,2.180082131083963e-15,,,,,,,,,,,,,,,,
8,-7.515295140786282,1.8946131288855472e-13,,,,,,,,,,,,,,,,
9,-8.176552004773267,1.9765402886574604e-15,,,,,,,,,,,,,,,,
10,-9.244261024189006,7.273054615844924e-19,,,,,,,,,,,,,,,,
11,-8.868927086099088,1.2594535676936018e-17,,,,,,,,,,,,,,,,
12,-7.622504317469356,9.210315239826684e-14,,,,,,,,,,,,,,,,
13,-7.00489225797637,5.301126817516961e-12,,,,,,,,,,,,,,,,
14,-8.33949524912745,6.164961822187465e-16,,,,,,,,,,,,,,,,
15,-9.518199429895414,8.66260231074057e-20,,,,,,,,,,,,,,,,
16,-8.13726553316205,2.6114282903064928e-15,,,,,,,,,,,,,,,,
17,-7.7905592032346,2.930243239169681e-14,,,,,,,,,,,,,,,,
18,-8.344401191128496,5.951019808254245e-16,,,,,,,,,,,,,,,,
19,-10.268480450734652,2.1135033301104142e-22,,,,,,,,,,,,,,,,
20,-10.820558230736962,2.1462798947555048e-24,,,,,,,,,,,,,,,,
21,-8.559901552547235,1.244065703607912e-16,,,,,,,,,,,,,,,,
22,-8.801778966614018,2.080985948111352e-17,,,,,,,,,,,,,,,,
23,-8.518886824915597,1.6792171332677434e-16,,,,,,,,,,,,,,,,
24,-8.590863192997425,9.913652398352472e-17,,,,,,,,,,,,,,,,
25,-9.967700426197007,2.4337681253220978e-21,,,,,,,,,,,,,,,,
26,-8.995382578957253,4.8593433077047755e-18,,,,,,,,,,,,,,,,
27,-7.855626556449767,1.871877407115507e-14,,,,,,,,,,,,,,,,
28,-6.775785038762891,2.2347396623598802e-11,,,,,,,,,,,,,,,,
29,-7.771695455274752,3.335144936860513e-14,,,,,,,,,,,,,,,,
30,-9.411764892528137,1.989087897345325e-19,,,,,,,,,,,,,,,,
31,-7.615406319039693,9.662992757049215e-14,,,,,,,,,,,,,,,,
32,-8.783769067776415,2.3800140086551272e-17,,,,,,,,,,,,,,,,
33,-8.643904048703572,6.710536912863358e-17,,,,,,,,,,,,,,,,
34,-9.256044521912322,6.642204110947343e-19,,,,,,,,,,,,,,,,
35,-10.418328724791097,6.160817692693397e-23,,,,,,,,,,,,,,,,
36,-9.536196053630949,7.522509287717834e-20,,,,,,,,,,,,,,,,
37,-8.812063847405824,1.9272370217731195e-17,,,,,,,,,,,,,,,,
38,-6.91438539687776,9.398764877839901e-12,,,,,,,,,,,,,,,,
39,-7.8675718126446474,1.7235498870055992e-14,,,,,,,,,,,,,,,,
40,-10.725913535522034,4.757932975445695e-24,,,,,,,,,,,,,,,,
41,-6.8567175372366576,1.3498128895134996e-11,,,,,,,,,,,,,,,,
42,-7.897765009208276,1.3983930104488903e-14,,,,,,,,,,,,,,,,
43,-9.892433687091513,4.456516801875642e-21,,,,,,,,,,,,,,,,
44,-8.630539313518092,7.405002712730616e-17,,,,,,,,,,,,,,,,
45,-11.283436766646991,4.151158323247645e-26,,,,,,,,,,,,,,,,
46,-7.449213331722101,2.944488068885779e-13,,,,,,,,,,,,,,,,
47,-8.605924527536954,8.8752316058595e-17,,,,,,,,,,,,,,,,
48,-7.455829487870886,2.817686778997165e-13,,,,,,,,,,,,,,,,
49,-8.417264387012851,3.5160974523465477e-16,,,,,,,,,,,,,,,,
50,-9.140040820465304,1.617573713226107e-18,,,,,,,,,,,,,,,,
51,-7.735189699651946,4.2817636553282916e-14,,,,,,,,,,,,,,,,
52,-6.641971158792749,5.0925129721657994e-11,,,,,,,,,,,,,,,,
53,-8.34768674344916,5.811862478599192e-16,,,,,,,,,,,,,,,,
54,-9.078599702063206,2.584374151252703e-18,,,,,,,,,,,,,,,,
55,-10.400355537030359,7.146268342283404e-23,,,,,,,,,,,,,,,,
56,-7.030234826315438,4.511267143494202e-12,,,,,,,,,,,,,,,,
57,-7.5379991409649625,1.6272304370254932e-13,,,,,,,,,,,,,,,,
58,-7.086542119014797,3.1473368181751694e-12,,,,,,,,,,,,,,,,
59,-10.737528284995543,4.315960014509516e-24,,,,,,,,,,,,,,,,
60,-11.55826035821171,3.835428852790767e-27,,,,,,,,,,,,,,,,
61,-7.631669757701898,8.656604701668431e-14,,,,,,,,,,,,,,,,
62,-9.020475480680528,4.018456550573664e-18,,,,,,,,,,,,,,,,
63,-6.937309203957093,8.134052408767116e-12,,,,,,,,,,,,,,,,
64,-9.66885925620916,2.6450574596496876e-20,,,,,,,,,,,,,,,,
65,-10.260364101572353,2.2587913745104377e-22,,,,,,,,,,,,,,,,
66,-9.217778389055566,8.915827952043621e-19,,,,,,,,,,,,,,,,
67,-9.533213353611263,7.700605452977428e-20,,,,,,,,,,,,,,,,
68,-8.189060736831518,1.8084418736629895e-15,,,,,,,,,,,,,,,,
69,-7.936763575557816,1.0665866994775036e-14,,,,,,,,,,,,,,,,
70,-10.482930010770644,3.610021920749385e-23,,,,,,,,,,,,,,,,
71,-8.852861195463698,1.420559512800987e-17,,,,,,,,,,,,,,,,
72,-8.183156500128522,1.8859478001571957e-15,,,,,,,,,,,,,,,,
73,-8.430704921534577,3.1897723516863964e-16,,,,,,,,,,,,,,,,
74,-9.019417338638428,4.0508107193832026e-18,,,,,,,,,,,,,,,,
75,-10.687047212803792,6.5905965421315614e-24,,,,,,,,,,,,,,,,
76,-8.79255384470392,2.2291889655195082e-17,,,,,,,,,,,,,,,,
77,-8.709241176135283,4.1404587366600914e-17,,,,,,,,,,,,,,,,
78,-6.707296778388046,3.411781829103002e-11,,,,,,,,,,,,,,,,
79,-7.900012331909299,1.3767704674351724e-14,,,,,,,,,,,,,,,,
80,-11.208716887736172,7.893168936024685e-26,,,,,,,,,,,,,,,,
81,-7.851866920222267,1.9211178118176927e-14,,,,,,,,,,,,,,,,
82,-9.083238178571719,2.494727997497503e-18,,,,,,,,,,,,,,,,
83,-7.780538455479429,3.138888687817355e-14,,,,,,,,,,,,,,,,
84,-8.900707047227574,9.92183966481704e-18,,,,,,,,,,,,,,,,
85,-11.670755934550035,1.4352719675286131e-27,,,,,,,,,,,,,,,,
86,-7.442390870874079,3.08113092523985e-13,,,,,,,,,,,,,,,,
87,-9.625117977506708,3.736975737421581e-20,,,,,,,,,,,,,,,,
88,-10.295122289508884,1.6987783939921488e-22,,,,,,,,,,,,,,,,
89,-8.211385862598943,1.5428029945123104e-15,,,,,,,,,,,,,,,,
90,-10.747203628924119,3.979127092078761e-24,,,,,,,,,,,,,,,,
91,-9.097061797732671,2.2454360301822055e-18,,,,,,,,,,,,,,,,
92,-7.280138813792268,8.981722564907247e-13,,,,,,,,,,,,,,,,
93,-9.080159006173913,2.553887500335532e-18,,,,,,,,,,,,,,,,
94,-8.54301687814485,1.4077311239773407e-16,,,,,,,,,,,,,,,,
95,-10.114631208984681,7.414854375374164e-22,,,,,,,,,,,,,,,,
96,-6.9597786475829455,7.0572695242917484e-12,,,,,,,,,,,,,,,,
97,-7.825738141763401,2.3004855682381697e-14,,,,,,,,,,,,,,,,
98,-8.448652993564057,2.800279671139724e-16,,,,,,,,,,,,,,,,
99,-6.860956491958928,1.3144733023173473e-11,,,,,,,,,,,,,,,,
100,-9.205336140540997,9.809809696712133e-19,,,,,,,,,,,,,,,,
101,-8.833739957017563,1.6390742236088558e-17,,,,,,,,,,,,,,,,
102,-9.390767578973534,2.3419558174333096e-19,,,,,,,,,,,,,,,,
103,-8.751228125793983,3.032071702829853e-17,,,,,,,,,,,,,,,,
104,-7.677308746704913,6.352182694524495e-14,,,,,,,,,,,,,,,,
105,-9.703045751520493,2.017671762630567e-20,,,,,,,,,,,,,,,,
106,-7.400198996795007,4.0761684063931923e-13,,,,,,,,,,,,,,,,
107,-7.788017301241114,2.9818359650794077e-14,,,,,,,,,,,,,,,,
108,-7.300770429724451,7.846746840360873e-13,,,,,,,,,,,,,,,,
109,-7.917184600641052,1.2220913315834168e-14,,,,,,,,,,,,,,,,
110,-9.686872960784237,2.2935480614270235e-20,,,,,,,,,,,,,,,,
111,-8.244920600220013,1.214599717002163e-15,,,,,,,,,,,,,,,,
112,-8.813824182273093,1.9020732042149943e-17,,,,,,,,,,,,,,,,
113,-10.282323284581938,1.8868120883271433e-22,,,,,,,,,,,,,,,,
114,-7.8333410829220025,2.1830553853065952e-14,,,,,,,,,,,,,,,,
115,-8.692304125795088,4.6936412077730803e-17,,,,,,,,,,,,,,,,
116,-5.9072848203694015,3.734986318364372e-09,,,,,,,,,,,,,,,,
117,-8.615347468126743,8.281080537435026e-17,,,,,,,,,,,,,,,,
