,Statistic,PValue,model,ntrials,npp_group,mean_v,mean_a,mean_z,mean_t,std_v,std_a,std_z,std_t,par_ind,TypeIerror,nreps,full_speed,output_folder
0,-6.262110179090992,8.792947821567364e-10,,,,,,,,,,,,,,,,
1,-5.97984392529746,4.0621326466523086e-09,,,,,,,,,,,,,,,,
2,-8.661643394626696,3.5949959938650006e-16,,,,,,,,,,,,,,,,
3,-5.2714591727422695,1.517314707038679e-07,,,,,,,,,,,,,,,,
4,-4.940820227604598,7.334507775300819e-07,,,,,,,,,,,,,,,,
5,-5.173221988473415,2.442270903888576e-07,,,,,,,,,,,,,,,,
6,-5.597760087935379,2.9807436200788906e-08,,,,,,,,,,,,,,,,
7,-8.20480762313162,7.265553370006116e-15,,,,,,,,,,,,,,,,
8,-6.139708818021967,1.7175097328248493e-09,,,,,,,,,,,,,,,,
9,-5.96601128892075,4.373043327458017e-09,,,,,,,,,,,,,,,,
10,-6.226503811739911,1.0693430851334368e-09,,,,,,,,,,,,,,,,
11,-6.0475759440699415,2.8260717278768577e-09,,,,,,,,,,,,,,,,
12,-6.696192663474111,7.628894939830148e-11,,,,,,,,,,,,,,,,
13,-7.221711482257381,3.443136530828847e-12,,,,,,,,,,,,,,,,
14,-4.585915544926661,3.654139735057449e-06,,,,,,,,,,,,,,,,
15,-4.9800844584710005,6.107004072551431e-07,,,,,,,,,,,,,,,,
16,-5.460883227739506,5.949969864763955e-08,,,,,,,,,,,,,,,,
17,-7.069044536768783,8.596750987959455e-12,,,,,,,,,,,,,,,,
18,-6.048453871778359,2.8127606807004857e-09,,,,,,,,,,,,,,,,
19,-7.263303686900549,2.677932659428675e-12,,,,,,,,,,,,,,,,
20,-6.019641733221211,3.283347072643102e-09,,,,,,,,,,,,,,,,
21,-6.715934191521023,6.808939970964947e-11,,,,,,,,,,,,,,,,
22,-6.2852214994385305,7.741051486838539e-10,,,,,,,,,,,,,,,,
23,-7.136575307715486,5.743774578160983e-12,,,,,,,,,,,,,,,,
24,-5.088683760566749,3.6592694318283214e-07,,,,,,,,,,,,,,,,
25,-7.988230256233377,2.931703909756561e-14,,,,,,,,,,,,,,,,
26,-7.259132944115951,2.7463913149463418e-12,,,,,,,,,,,,,,,,
27,-5.721809517254427,1.576554225089672e-08,,,,,,,,,,,,,,,,
28,-5.86634512572898,7.413812334329968e-09,,,,,,,,,,,,,,,,
29,-5.9045911581404935,6.0587464302346674e-09,,,,,,,,,,,,,,,,
30,-7.444282222866408,8.881422667318874e-13,,,,,,,,,,,,,,,,
31,-5.8473178617750845,8.194146294391933e-09,,,,,,,,,,,,,,,,
32,-5.733281456944635,1.4856328632374759e-08,,,,,,,,,,,,,,,,
33,-6.125063788026129,1.8596350746358555e-09,,,,,,,,,,,,,,,,
34,-3.6429478695696704,0.00016541049703266413,,,,,,,,,,,,,,,,
35,-6.39241967413354,4.2693436510865974e-10,,,,,,,,,,,,,,,,
36,-5.815439171011342,9.685009970681037e-09,,,,,,,,,,,,,,,,
37,-5.045079104211322,4.499174994830659e-07,,,,,,,,,,,,,,,,
38,-5.468387917058935,5.730521525018826e-08,,,,,,,,,,,,,,,,
39,-4.845860217631801,1.137097827311841e-06,,,,,,,,,,,,,,,,
40,-6.691830679855677,7.822764301560368e-11,,,,,,,,,,,,,,,,
41,-8.393683494279284,2.1179089810211015e-15,,,,,,,,,,,,,,,,
42,-7.18631516411379,4.261368494774041e-12,,,,,,,,,,,,,,,,
43,-7.620948098382612,2.9779263214329795e-13,,,,,,,,,,,,,,,,
44,-5.799032676578028,1.0552463227571387e-08,,,,,,,,,,,,,,,,
45,-7.525704772967778,5.377338702805478e-13,,,,,,,,,,,,,,,,
46,-5.5815468562975905,3.237126532487546e-08,,,,,,,,,,,,,,,,
47,-7.395012738545872,1.201340910909812e-12,,,,,,,,,,,,,,,,
48,-5.913474524500383,5.780504426073262e-09,,,,,,,,,,,,,,,,
49,-6.988936804093651,1.3827828325609894e-11,,,,,,,,,,,,,,,,
50,-6.183239003877487,1.354995895053499e-09,,,,,,,,,,,,,,,,
51,-5.326438010370749,1.1591714609656572e-07,,,,,,,,,,,,,,,,
52,-5.869719313309765,7.28322943582818e-09,,,,,,,,,,,,,,,,
53,-6.057612972844343,2.6775005216289065e-09,,,,,,,,,,,,,,,,
54,-6.147872116966587,1.6429649795612116e-09,,,,,,,,,,,,,,,,
55,-5.594243593006553,3.034612151055141e-08,,,,,,,,,,,,,,,,
56,-5.351763344521733,1.0232685903355578e-07,,,,,,,,,,,,,,,,
57,-7.014842429598907,1.1862072757900049e-11,,,,,,,,,,,,,,,,
58,-9.239917567733844,7.142718228531407e-18,,,,,,,,,,,,,,,,
59,-4.522244628810709,4.827565802968267e-06,,,,,,,,,,,,,,,,
60,-5.422532059654681,7.20552611107107e-08,,,,,,,,,,,,,,,,
61,-7.849999652633061,7.065701810646644e-14,,,,,,,,,,,,,,,,
62,-6.981159104286058,1.447829865125217e-11,,,,,,,,,,,,,,,,
63,-5.625864405689026,2.5824520833561474e-08,,,,,,,,,,,,,,,,
64,-6.281384525127873,7.906716053942062e-10,,,,,,,,,,,,,,,,
65,-6.68662123564697,8.060654160363022e-11,,,,,,,,,,,,,,,,
66,-5.906779034031169,5.989026862134668e-09,,,,,,,,,,,,,,,,
67,-5.645313331296207,2.3377313071089568e-08,,,,,,,,,,,,,,,,
68,-6.028089601041648,3.1379131185462377e-09,,,,,,,,,,,,,,,,
69,-6.583152300501938,1.456850504170122e-10,,,,,,,,,,,,,,,,
70,-6.05880832469149,2.6603244093930874e-09,,,,,,,,,,,,,,,,
71,-6.993364094071321,1.3470507975495874e-11,,,,,,,,,,,,,,,,
72,-4.638893239202437,2.8918496957365984e-06,,,,,,,,,,,,,,,,
73,-5.731432033958201,1.499936355455856e-08,,,,,,,,,,,,,,,,
74,-5.9848192651929475,3.955679673551811e-09,,,,,,,,,,,,,,,,
75,-6.235107529508999,1.020028397406703e-09,,,,,,,,,,,,,,,,
76,-3.487181496945467,0.00029061088996141393,,,,,,,,,,,,,,,,
77,-6.07458032590103,2.4435501545385448e-09,,,,,,,,,,,,,,,,
78,-5.748324193690923,1.3741342276000761e-08,,,,,,,,,,,,,,,,
79,-5.2000735089382,2.1457237335622786e-07,,,,,,,,,,,,,,,,
80,-3.041272491796166,0.0013097773500037927,,,,,,,,,,,,,,,,
81,-8.70694773500084,2.6563322923813633e-16,,,,,,,,,,,,,,,,
82,-5.041871660938629,4.567843703287778e-07,,,,,,,,,,,,,,,,
83,-4.425408578105306,7.33146527980177e-06,,,,,,,,,,,,,,,,
84,-4.954117071395937,6.894238508619292e-07,,,,,,,,,,,,,,,,
85,-6.216562339637161,1.1292400997282935e-09,,,,,,,,,,,,,,,,
86,-6.180955601496969,1.3719905639408954e-09,,,,,,,,,,,,,,,,
87,-4.94060256032497,7.341936485821704e-07,,,,,,,,,,,,,,,,
88,-6.020507543312337,3.2681434577002687e-09,,,,,,,,,,,,,,,,
89,-5.477956977380839,5.4621134747530875e-08,,,,,,,,,,,,,,,,
90,-4.724173800556441,1.975863221191551e-06,,,,,,,,,,,,,,,,
91,-6.966419437098764,1.5794752586608015e-11,,,,,,,,,,,,,,,,
92,-6.267350526196045,8.542790045420946e-10,,,,,,,,,,,,,,,,
93,-6.281555848899491,7.899245408350447e-10,,,,,,,,,,,,,,,,
94,-5.058294350874568,4.2266493690155186e-07,,,,,,,,,,,,,,,,
95,-6.19484503628371,1.2717543774850745e-09,,,,,,,,,,,,,,,,
96,-5.411088243132519,7.627735698014377e-08,,,,,,,,,,,,,,,,
97,-6.41148882276684,3.8378145454570565e-10,,,,,,,,,,,,,,,,
98,-4.654897693120294,2.693430294203161e-06,,,,,,,,,,,,,,,,
99,-5.615057344407687,2.7290534785428866e-08,,,,,,,,,,,,,,,,
100,-4.70309249844533,2.172002004439788e-06,,,,,,,,,,,,,,,,
101,-6.0196632442997355,3.28296850116791e-09,,,,,,,,,,,,,,,,
102,-4.886668672439621,9.425441574054028e-07,,,,,,,,,,,,,,,,
103,-5.061546430774861,4.1620781219844325e-07,,,,,,,,,,,,,,,,
104,-7.358736877698868,1.4994194824627815e-12,,,,,,,,,,,,,,,,
105,-5.061162105895962,4.169658929199506e-07,,,,,,,,,,,,,,,,
106,-7.209103546823082,3.715074865660298e-12,,,,,,,,,,,,,,,,
107,-5.116060379403349,3.211898965154897e-07,,,,,,,,,,,,,,,,
108,-5.731723642051704,1.497672155173053e-08,,,,,,,,,,,,,,,,
109,-6.377450821293057,4.6411279065118484e-10,,,,,,,,,,,,,,,,
110,-6.971451425879797,1.5332587635393505e-11,,,,,,,,,,,,,,,,
111,-5.5178205571987755,4.4698177643090596e-08,,,,,,,,,,,,,,,,
112,-4.926085583243902,7.854160396139982e-07,,,,,,,,,,,,,,,,
113,-5.075803327755997,3.890109087310531e-07,,,,,,,,,,,,,,,,
114,-7.400125394700004,1.1643335341186044e-12,,,,,,,,,,,,,,,,
115,-7.749699194195218,1.3305300516113677e-13,,,,,,,,,,,,,,,,
116,-5.621451393387129,2.641364025689036e-08,,,,,,,,,,,,,,,,
117,-7.167826351189005,4.7621690311554725e-12,,,,,,,,,,,,,,,,
118,-5.701755399347439,1.7487102314037296e-08,,,,,,,,,,,,,,,,
119,-7.5929169108461965,3.545226811364173e-13,,,,,,,,,,,,,,,,
120,-5.408805986012994,7.714771207769538e-08,,,,,,,,,,,,,,,,
121,-5.864170614394969,7.499176807106803e-09,,,,,,,,,,,,,,,,
122,-5.237674215564165,1.788502451172279e-07,,,,,,,,,,,,,,,,
123,-6.784857381467011,4.570290663654728e-11,,,,,,,,,,,,,,,,
124,-5.833554462087816,8.808068596037357e-09,,,,,,,,,,,,,,,,
125,-8.310907808324323,3.641810337950819e-15,,,,,,,,,,,,,,,,
126,-4.77503996297246,1.5703992940218467e-06,,,,,,,,,,,,,,,,
127,-7.562885283727634,4.2716863845253347e-13,,,,,,,,,,,,,,,,
128,-6.8687947412582115,2.8026978153125503e-11,,,,,,,,,,,,,,,,
129,-5.689582776118942,1.8620156573546242e-08,,,,,,,,,,,,,,,,
130,-4.656792946132414,2.6708209502898994e-06,,,,,,,,,,,,,,,,
131,-6.105808164493629,2.0641495740629657e-09,,,,,,,,,,,,,,,,
132,-6.673461964277552,8.693709809600951e-11,,,,,,,,,,,,,,,,
133,-5.636807653631064,2.4418385040038898e-08,,,,,,,,,,,,,,,,
