,Statistic,PValue,model,ntrials,npp_group,mean_v,mean_a,mean_z,mean_t,std_v,std_a,std_z,std_t,par_ind,TypeIerror,nreps,full_speed,output_folder
0,-6.110506576644474,2.012303853945355e-09,,,,,,,,,,,,,,,,
1,-8.212592065532391,6.907659672357928e-15,,,,,,,,,,,,,,,,
2,-5.201918503451068,2.126684339327888e-07,,,,,,,,,,,,,,,,
3,-6.968856812383052,1.5569202731348138e-11,,,,,,,,,,,,,,,,
4,-7.227291957011486,3.3291308168773885e-12,,,,,,,,,,,,,,,,
5,-5.137444377873541,2.8998143136774127e-07,,,,,,,,,,,,,,,,
6,-6.4516184075848075,3.0647820458159093e-10,,,,,,,,,,,,,,,,
7,-6.72431382489395,6.487691772525976e-11,,,,,,,,,,,,,,,,
8,-5.647980046605262,2.3059923243553373e-08,,,,,,,,,,,,,,,,
9,-7.642506814340346,2.603519325537666e-13,,,,,,,,,,,,,,,,
10,-5.8484989641674705,8.143455036462886e-09,,,,,,,,,,,,,,,,
11,-7.614930782693148,3.0916058267611643e-13,,,,,,,,,,,,,,,,
12,-6.845971974267222,3.2024559587245927e-11,,,,,,,,,,,,,,,,
13,-7.413096014953093,1.0754197624707382e-12,,,,,,,,,,,,,,,,
14,-5.3858092803904025,8.647474089532183e-08,,,,,,,,,,,,,,,,
15,-4.921825180613277,8.010935919007988e-07,,,,,,,,,,,,,,,,
16,-5.6687368804665175,2.072909476941419e-08,,,,,,,,,,,,,,,,
17,-6.8670811209869855,2.8309250409904904e-11,,,,,,,,,,,,,,,,
18,-6.638290145022588,1.0635563728253088e-10,,,,,,,,,,,,,,,,
19,-8.887388459012532,7.898776410326908e-17,,,,,,,,,,,,,,,,
20,-4.5235559100005185,4.800101423408097e-06,,,,,,,,,,,,,,,,
21,-4.213702233216954,1.783908958349719e-05,,,,,,,,,,,,,,,,
22,-6.584576690874309,1.4450872687217782e-10,,,,,,,,,,,,,,,,
23,-5.098250873831927,3.4964628552317343e-07,,,,,,,,,,,,,,,,
24,-6.835931189919693,3.395630777874979e-11,,,,,,,,,,,,,,,,
25,-6.20731623312051,1.1878922235101462e-09,,,,,,,,,,,,,,,,
26,-6.342463258199739,5.638468930362853e-10,,,,,,,,,,,,,,,,
27,-5.936482709915825,5.116654444129917e-09,,,,,,,,,,,,,,,,
28,-5.285103970586479,1.4195105721940072e-07,,,,,,,,,,,,,,,,
29,-5.195277326399879,2.195995346392015e-07,,,,,,,,,,,,,,,,
30,-5.557051306941707,3.6657252040932116e-08,,,,,,,,,,,,,,,,
31,-5.32052540384977,1.1933418302374792e-07,,,,,,,,,,,,,,,,
32,-6.425346327122698,3.5513809295975945e-10,,,,,,,,,,,,,,,,
33,-5.577711126823591,3.300856912473024e-08,,,,,,,,,,,,,,,,
34,-8.821192713109456,1.2342374298938977e-16,,,,,,,,,,,,,,,,
35,-5.622323648305411,2.6296167896217834e-08,,,,,,,,,,,,,,,,
36,-4.7237110777873434,1.9799788999758733e-06,,,,,,,,,,,,,,,,
37,-8.105255570641953,1.3830586779155131e-14,,,,,,,,,,,,,,,,
38,-6.44876514756201,3.114285018657569e-10,,,,,,,,,,,,,,,,
39,-8.551907509120532,7.45755064998998e-16,,,,,,,,,,,,,,,,
40,-6.357768384198023,5.178675815685759e-10,,,,,,,,,,,,,,,,
