,Statistic,PValue,model,ntrials,npp_group,mean_v,mean_a,mean_z,mean_t,std_v,std_a,std_z,std_t,par_ind,TypeIerror,nreps,full_speed,output_folder
0,-8.224216985191712,2.538359311400459e-15,,,,,,,,,,,,,,,,
1,-7.420866844878038,5.353869309704789e-13,,,,,,,,,,,,,,,,
2,-5.756031221144735,1.0137480028723816e-08,,,,,,,,,,,,,,,,
3,-6.49857474903048,1.5652189116219991e-10,,,,,,,,,,,,,,,,
4,-7.466537340605592,3.9879804419466053e-13,,,,,,,,,,,,,,,,
5,-8.716927444718127,8.051888215975546e-17,,,,,,,,,,,,,,,,
6,-5.222308034306182,1.600040240036249e-07,,,,,,,,,,,,,,,,
7,-7.413625171221429,5.609213858944664e-13,,,,,,,,,,,,,,,,
8,-7.477723267057821,3.709737735993376e-13,,,,,,,,,,,,,,,,
9,-6.470388851261583,1.8461562914600762e-10,,,,,,,,,,,,,,,,
10,-7.123417284538558,3.5376793187617984e-12,,,,,,,,,,,,,,,,
11,-6.03129666756482,2.2568853745212566e-09,,,,,,,,,,,,,,,,
12,-7.29598889224207,1.1904885431546283e-12,,,,,,,,,,,,,,,,
13,-7.550271435560089,2.316697493418262e-13,,,,,,,,,,,,,,,,
14,-8.376917288850555,8.826060174851176e-16,,,,,,,,,,,,,,,,
15,-8.181118634868078,3.412666227283078e-15,,,,,,,,,,,,,,,,
16,-7.093048153182562,4.277110501279236e-12,,,,,,,,,,,,,,,,
17,-6.042942334210931,2.115458168086561e-09,,,,,,,,,,,,,,,,
18,-8.423947327817316,6.359507808138902e-16,,,,,,,,,,,,,,,,
19,-7.753886906261291,6.08191386905673e-14,,,,,,,,,,,,,,,,
20,-6.296843293126494,5.043025962959353e-10,,,,,,,,,,,,,,,,
21,-7.556154698947409,2.2296160405559125e-13,,,,,,,,,,,,,,,,
22,-8.533218064983572,2.956882257886476e-16,,,,,,,,,,,,,,,,
23,-7.892874880373216,2.408761975155238e-14,,,,,,,,,,,,,,,,
24,-6.8502693177088325,1.9111931174569023e-11,,,,,,,,,,,,,,,,
25,-7.375904047891985,7.146362031018169e-13,,,,,,,,,,,,,,,,
26,-7.252674151534313,1.5673683541977327e-12,,,,,,,,,,,,,,,,
27,-6.342524893202515,3.878410401631935e-10,,,,,,,,,,,,,,,,
28,-7.765974985345121,5.6135828242619796e-14,,,,,,,,,,,,,,,,
29,-5.80235103460969,7.902325516973271e-09,,,,,,,,,,,,,,,,
30,-5.745319996019667,1.0736218398979517e-08,,,,,,,,,,,,,,,,
31,-7.877079495007281,2.677563401348141e-14,,,,,,,,,,,,,,,,
32,-6.085127088341601,1.6720908311614347e-09,,,,,,,,,,,,,,,,
33,-7.34547426987683,8.683060105060389e-13,,,,,,,,,,,,,,,,
34,-8.173441676805735,3.597046878092888e-15,,,,,,,,,,,,,,,,
35,-8.536474696301154,2.889894980407835e-16,,,,,,,,,,,,,,,,
36,-7.613512423715776,1.5330613713122169e-13,,,,,,,,,,,,,,,,
37,-6.370230870887356,3.3051890193332574e-10,,,,,,,,,,,,,,,,
38,-9.077717280090724,5.970907677753729e-18,,,,,,,,,,,,,,,,
39,-7.260562401856111,1.4909197962712836e-12,,,,,,,,,,,,,,,,
40,-7.485116880359507,3.5364284448156635e-13,,,,,,,,,,,,,,,,
41,-8.89893032999333,2.1839446342474268e-17,,,,,,,,,,,,,,,,
42,-7.9426909100336625,1.7238579130264656e-14,,,,,,,,,,,,,,,,
43,-7.680713077430978,9.861495379943099e-14,,,,,,,,,,,,,,,,
44,-6.342952377021507,3.868866673034727e-10,,,,,,,,,,,,,,,,
45,-6.420679611251844,2.4669327423039903e-10,,,,,,,,,,,,,,,,
46,-8.799239732689077,4.471670084774917e-17,,,,,,,,,,,,,,,,
47,-7.360628688513763,7.880912662738264e-13,,,,,,,,,,,,,,,,
48,-7.8612088921660215,2.9774517985664576e-14,,,,,,,,,,,,,,,,
49,-6.384718013226284,3.039413742120876e-10,,,,,,,,,,,,,,,,
50,-8.229632458877536,2.4455229190692816e-15,,,,,,,,,,,,,,,,
51,-8.242024624066083,2.245531895554509e-15,,,,,,,,,,,,,,,,
52,-9.108354450884242,4.774094208414186e-18,,,,,,,,,,,,,,,,
53,-8.409248610362477,7.046339840037062e-16,,,,,,,,,,,,,,,,
54,-6.8680084298047,1.7152875166261693e-11,,,,,,,,,,,,,,,,
55,-7.229185147642011,1.8186212229332659e-12,,,,,,,,,,,,,,,,
56,-7.197467776252478,2.2218054394450704e-12,,,,,,,,,,,,,,,,
57,-6.821251660251908,2.2800779786874937e-11,,,,,,,,,,,,,,,,
58,-7.811696269661762,4.142815890929108e-14,,,,,,,,,,,,,,,,
59,-6.3086838132709175,4.711845632985935e-10,,,,,,,,,,,,,,,,
60,-7.066539840653624,5.045497469582199e-12,,,,,,,,,,,,,,,,
61,-7.751781642681493,6.167333835865812e-14,,,,,,,,,,,,,,,,
62,-7.547421854124007,2.3600734583866977e-13,,,,,,,,,,,,,,,,
63,-7.516531384961526,2.8848798549061427e-13,,,,,,,,,,,,,,,,
64,-7.618534822924211,1.4834638413591085e-13,,,,,,,,,,,,,,,,
65,-8.551863374911425,2.593132886518184e-16,,,,,,,,,,,,,,,,
66,-6.785252430943033,2.8360633876779515e-11,,,,,,,,,,,,,,,,
67,-7.540933613382065,2.4618478648596977e-13,,,,,,,,,,,,,,,,
68,-9.429334253617485,4.468613720194147e-19,,,,,,,,,,,,,,,,
69,-8.01354482521962,1.068674129734057e-14,,,,,,,,,,,,,,,,
70,-7.938487594498995,1.773304803209454e-14,,,,,,,,,,,,,,,,
71,-7.88042403366985,2.6182798047608084e-14,,,,,,,,,,,,,,,,
72,-6.164664036585871,1.069640121641244e-09,,,,,,,,,,,,,,,,
