,Statistic,PValue,model,ntrials,npp_group,mean_v,mean_a,mean_z,mean_t,std_v,std_a,std_z,std_t,par_ind,TypeIerror,nreps,full_speed,output_folder
0,-5.663039926091339,1.6638364236535443e-08,,,,,,,,,,,,,,,,
1,-6.322699605089181,4.3472922003634145e-10,,,,,,,,,,,,,,,,
2,-6.855498051526525,1.8512684552946885e-11,,,,,,,,,,,,,,,,
3,-5.977818721696005,3.034241074151962e-09,,,,,,,,,,,,,,,,
4,-6.391612623959677,2.920400094429729e-10,,,,,,,,,,,,,,,,
5,-7.406042333012914,5.889457081368799e-13,,,,,,,,,,,,,,,,
6,-6.667510576868827,5.7567377286470036e-11,,,,,,,,,,,,,,,,
7,-5.941398195756876,3.7076624432648026e-09,,,,,,,,,,,,,,,,
8,-8.441372604159058,5.630670012109282e-16,,,,,,,,,,,,,,,,
9,-5.402653109117481,6.446406860115193e-08,,,,,,,,,,,,,,,,
10,-7.710885610792663,8.082563503512315e-14,,,,,,,,,,,,,,,,
11,-6.403624596116686,2.723871139093464e-10,,,,,,,,,,,,,,,,
12,-8.771909797204646,5.4379471489243916e-17,,,,,,,,,,,,,,,,
13,-7.686681762995576,9.481348748497987e-14,,,,,,,,,,,,,,,,
14,-6.805997589613425,2.5012009217590008e-11,,,,,,,,,,,,,,,,
15,-6.768922130060841,3.130311987174582e-11,,,,,,,,,,,,,,,,
16,-7.39824567096004,6.191991924602539e-13,,,,,,,,,,,,,,,,
17,-7.324403318956153,9.933599647774002e-13,,,,,,,,,,,,,,,,
18,-8.051073800995923,8.286710310018632e-15,,,,,,,,,,,,,,,,
19,-5.382350454848,7.149624415579881e-08,,,,,,,,,,,,,,,,
20,-6.975571983573181,8.8658392584205e-12,,,,,,,,,,,,,,,,
21,-6.368836494452225,3.331940318136854e-10,,,,,,,,,,,,,,,,
22,-5.3099350307473445,1.0318033416220319e-07,,,,,,,,,,,,,,,,
23,-7.602981120881605,1.6424343225280034e-13,,,,,,,,,,,,,,,,
24,-6.189317700728367,9.305056390281495e-10,,,,,,,,,,,,,,,,
25,-6.768334786331157,3.141435918951372e-11,,,,,,,,,,,,,,,,
26,-6.9759730887822995,8.843928670150212e-12,,,,,,,,,,,,,,,,
27,-5.251726150787937,1.38178375202761e-07,,,,,,,,,,,,,,,,
28,-9.808918397687686,2.5644672121542702e-20,,,,,,,,,,,,,,,,
29,-5.380937292857795,7.20125462704786e-08,,,,,,,,,,,,,,,,
30,-7.009566063507094,7.186076353335245e-12,,,,,,,,,,,,,,,,
31,-5.855057786019305,5.941098677946862e-09,,,,,,,,,,,,,,,,
32,-6.462998275904578,1.9276567314506776e-10,,,,,,,,,,,,,,,,
33,-6.370995011559335,3.2906182938549593e-10,,,,,,,,,,,,,,,,
34,-6.731303274965139,3.9270721087793124e-11,,,,,,,,,,,,,,,,
35,-7.827229273272837,3.7355588258172096e-14,,,,,,,,,,,,,,,,
36,-6.128055851418371,1.3145336775638707e-09,,,,,,,,,,,,,,,,
37,-6.614627290527775,7.888966113179579e-11,,,,,,,,,,,,,,,,
38,-6.840126158873374,2.0329282480805024e-11,,,,,,,,,,,,,,,,
39,-6.313603957104288,4.580583250743816e-10,,,,,,,,,,,,,,,,
40,-6.301324658462192,4.91508296391112e-10,,,,,,,,,,,,,,,,
41,-6.685140020982366,5.180653107160655e-11,,,,,,,,,,,,,,,,
42,-6.198022027154018,8.85746422937376e-10,,,,,,,,,,,,,,,,
43,-7.637327812566651,1.3115318542383545e-13,,,,,,,,,,,,,,,,
44,-8.906663124610393,2.0654535919531213e-17,,,,,,,,,,,,,,,,
45,-5.868490207791158,5.522789184982928e-09,,,,,,,,,,,,,,,,
46,-4.923792468810241,6.831480574783796e-07,,,,,,,,,,,,,,,,
47,-6.532371218411528,1.2832575690014827e-10,,,,,,,,,,,,,,,,
48,-6.856863166206484,1.8359299184285553e-11,,,,,,,,,,,,,,,,
49,-8.007591915869847,1.1125948414338244e-14,,,,,,,,,,,,,,,,
50,-6.022055057570547,2.3756580895273916e-09,,,,,,,,,,,,,,,,
51,-7.22742481678286,1.8389742107300373e-12,,,,,,,,,,,,,,,,
52,-6.355743930030909,3.5937006936390144e-10,,,,,,,,,,,,,,,,
53,-6.465771554693984,1.8966686055735523e-10,,,,,,,,,,,,,,,,
54,-5.892690805367948,4.8405297989560095e-09,,,,,,,,,,,,,,,,
55,-7.916816534812812,2.0513478132857153e-14,,,,,,,,,,,,,,,,
56,-6.085293512567122,1.6705360221931459e-09,,,,,,,,,,,,,,,,
57,-7.13159471491728,3.3610943141476564e-12,,,,,,,,,,,,,,,,
58,-6.474781290972709,1.799329670533258e-10,,,,,,,,,,,,,,,,
59,-6.850581999581224,1.9075565825524858e-11,,,,,,,,,,,,,,,,
