,Statistic,PValue,model,ntrials,npp_group,mean_v,mean_a,mean_z,mean_t,std_v,std_a,std_z,std_t,par_ind,TypeIerror,nreps,full_speed,output_folder
0,-6.753742445005794,5.473242663716467e-11,,,,,,,,,,,,,,,,
1,-8.211990977338912,6.934661803625793e-15,,,,,,,,,,,,,,,,
2,-6.821198855414601,3.699989604911257e-11,,,,,,,,,,,,,,,,
3,-6.360460265153911,5.101702346179695e-10,,,,,,,,,,,,,,,,
4,-7.37669880869419,1.3436831663354824e-12,,,,,,,,,,,,,,,,
5,-5.530482277250834,4.193137749758263e-08,,,,,,,,,,,,,,,,
6,-6.289508587112455,7.559977746399492e-10,,,,,,,,,,,,,,,,
7,-7.928451735686263,4.2932467633909095e-14,,,,,,,,,,,,,,,,
8,-6.177104601274291,1.4011267542015418e-09,,,,,,,,,,,,,,,,
9,-4.894008675729373,9.111485349951047e-07,,,,,,,,,,,,,,,,
10,-6.689783889518422,7.915396378185799e-11,,,,,,,,,,,,,,,,
11,-5.485988101341414,5.246327852885923e-08,,,,,,,,,,,,,,,,
12,-6.3496809635034435,5.416852110009415e-10,,,,,,,,,,,,,,,,
13,-7.7697531214857625,1.1728083777725014e-13,,,,,,,,,,,,,,,,
14,-5.7067652906109325,1.7040574550018628e-08,,,,,,,,,,,,,,,,
15,-5.944043175445826,4.91525365293675e-09,,,,,,,,,,,,,,,,
16,-5.014373031989134,5.199751676608594e-07,,,,,,,,,,,,,,,,
17,-5.727471260590038,1.5310228502109606e-08,,,,,,,,,,,,,,,,
18,-7.1835260522968625,4.333447163333137e-12,,,,,,,,,,,,,,,,
19,-5.608458535414455,2.8225263762858496e-08,,,,,,,,,,,,,,,,
20,-6.773972081338773,4.868137437732687e-11,,,,,,,,,,,,,,,,
21,-6.291567219682509,7.474509976307462e-10,,,,,,,,,,,,,,,,
22,-5.879578936068322,6.914406477090314e-09,,,,,,,,,,,,,,,,
23,-6.160164043736775,1.5366616742558072e-09,,,,,,,,,,,,,,,,
24,-6.457498844072904,2.96518304508229e-10,,,,,,,,,,,,,,,,
25,-5.717151698101926,1.615000794515814e-08,,,,,,,,,,,,,,,,
26,-8.31965022648604,3.439630134363584e-15,,,,,,,,,,,,,,,,
27,-7.546893110219055,4.716642775621312e-13,,,,,,,,,,,,,,,,
28,-7.0936613492938045,7.423533347877524e-12,,,,,,,,,,,,,,,,
29,-5.6066661472350265,2.848450280882048e-08,,,,,,,,,,,,,,,,
30,-5.21944383292744,1.953821932182856e-07,,,,,,,,,,,,,,,,
31,-5.968961017841551,4.30484910598124e-09,,,,,,,,,,,,,,,,
32,-7.1757844237286355,4.5398714226652994e-12,,,,,,,,,,,,,,,,
33,-4.620884437857335,3.1319537647518364e-06,,,,,,,,,,,,,,,,
34,-4.697050061575492,2.2315975437847536e-06,,,,,,,,,,,,,,,,
35,-6.796646965527669,4.2679114120569103e-11,,,,,,,,,,,,,,,,
36,-7.733628747312637,1.471904014594329e-13,,,,,,,,,,,,,,,,
37,-7.00917985398284,1.226676253924936e-11,,,,,,,,,,,,,,,,
38,-5.8830172012956705,6.7901345094264136e-09,,,,,,,,,,,,,,,,
39,-7.123443941017019,6.213449916509657e-12,,,,,,,,,,,,,,,,
40,-6.105567608818108,2.066838956360911e-09,,,,,,,,,,,,,,,,
41,-6.503371876534519,2.2899584923363273e-10,,,,,,,,,,,,,,,,
42,-6.429461304945346,3.470441619680859e-10,,,,,,,,,,,,,,,,
43,-4.992792395732268,5.75418413295967e-07,,,,,,,,,,,,,,,,
44,-6.4108650463018835,3.851227852392446e-10,,,,,,,,,,,,,,,,
45,-7.067460282343431,8.678221112531169e-12,,,,,,,,,,,,,,,,
46,-7.394207455376258,1.2072747315239419e-12,,,,,,,,,,,,,,,,
47,-6.507757038587349,2.2339447335994812e-10,,,,,,,,,,,,,,,,
48,-6.951299491450493,1.726757755829978e-11,,,,,,,,,,,,,,,,
49,-5.249860292588968,1.6856583982029532e-07,,,,,,,,,,,,,,,,
50,-5.295590250922783,1.348537209318859e-07,,,,,,,,,,,,,,,,
51,-6.278601274731443,8.029055909061273e-10,,,,,,,,,,,,,,,,
52,-7.564888541116207,4.2189563421170686e-13,,,,,,,,,,,,,,,,
53,-7.518989466692887,5.605216206738463e-13,,,,,,,,,,,,,,,,
54,-7.004136239016504,1.2638648688539803e-11,,,,,,,,,,,,,,,,
55,-6.444387427351207,3.191766756884443e-10,,,,,,,,,,,,,,,,
56,-7.013231250704557,1.1975861565519137e-11,,,,,,,,,,,,,,,,
57,-9.402820113271037,2.3194008560195682e-18,,,,,,,,,,,,,,,,
58,-6.637265602807015,1.0698095934968747e-10,,,,,,,,,,,,,,,,
59,-5.921686877920754,5.534418301595791e-09,,,,,,,,,,,,,,,,
60,-7.436980674669094,9.288721243789787e-13,,,,,,,,,,,,,,,,
61,-5.809240412194284,1.0004239560172306e-08,,,,,,,,,,,,,,,,
62,-5.9292315415025865,5.317387711348962e-09,,,,,,,,,,,,,,,,
63,-7.347024269133882,1.6104306042381507e-12,,,,,,,,,,,,,,,,
64,-6.56831519611174,1.58511564685795e-10,,,,,,,,,,,,,,,,
65,-7.151809411256304,5.2426113989170255e-12,,,,,,,,,,,,,,,,
66,-7.33791054601035,1.7023849839500873e-12,,,,,,,,,,,,,,,,
67,-4.746907574919287,1.7835128498646846e-06,,,,,,,,,,,,,,,,
